time,PT.Fuel_Upstream.sample_ts_ms
2026-03-06 12:31:43.780297,3273776294
2026-03-06 12:31:43.788233,3273776395
2026-03-06 12:31:43.78881,3273776497
2026-03-06 12:31:43.789243,3273776598
2026-03-06 12:31:43.78966,3273776699
2026-03-06 12:31:43.790034,3273776800
2026-03-06 12:31:43.790359,3273776901
2026-03-06 12:31:43.790447,3273777003
2026-03-06 12:31:43.790539,3273777105
2026-03-06 12:31:43.790624,3273777207
2026-03-06 12:31:43.790699,3273777309
2026-03-06 12:31:43.795324,3273777411
2026-03-06 12:31:43.795777,3273777514
2026-03-06 12:31:43.796119,3273777615
2026-03-06 12:31:43.796499,3273777716
2026-03-06 12:31:43.796795,3273777817
2026-03-06 12:31:43.870974,3273777918
2026-03-06 12:31:43.973004,3273778019
2026-03-06 12:31:44.074371,3273778121
2026-03-06 12:31:44.175857,3273778223
2026-03-06 12:31:44.277098,3273778324
2026-03-06 12:31:44.378659,3273778425
2026-03-06 12:31:44.479029,3273778526
2026-03-06 12:31:44.58034,3273778627
2026-03-06 12:31:44.681515,3273778728
2026-03-06 12:31:44.783143,3273778830
2026-03-06 12:31:44.883677,3273778931
2026-03-06 12:31:44.984568,3273779032
2026-03-06 12:31:45.085713,3273779133
2026-03-06 12:31:45.186713,3273779234
2026-03-06 12:31:45.287638,3273779334
2026-03-06 12:31:45.388148,3273779435
2026-03-06 12:31:45.488888,3273779536
2026-03-06 12:31:45.59013,3273779637
2026-03-06 12:31:45.691125,3273779738
2026-03-06 12:31:45.792356,3273779839
2026-03-06 12:31:45.89338,3273779941
2026-03-06 12:31:45.994544,3273780042
2026-03-06 12:31:46.096687,3273780143
2026-03-06 12:31:46.197662,3273780244
2026-03-06 12:31:46.298915,3273780346
2026-03-06 12:31:46.399936,3273780447
2026-03-06 12:31:46.501063,3273780548
2026-03-06 12:31:46.602073,3273780649
2026-03-06 12:31:46.703572,3273780750
2026-03-06 12:31:46.80434,3273780851
2026-03-06 12:31:46.905863,3273780952
2026-03-06 12:31:47.007259,3273781054
2026-03-06 12:31:47.108081,3273781155
2026-03-06 12:31:47.209778,3273781257
2026-03-06 12:31:47.311054,3273781358
2026-03-06 12:31:47.413075,3273781460
2026-03-06 12:31:47.513976,3273781561
2026-03-06 12:31:47.615233,3273781662
2026-03-06 12:31:47.716633,3273781764
2026-03-06 12:31:47.817582,3273781865
2026-03-06 12:31:47.919942,3273781967
2026-03-06 12:31:48.021218,3273782068
2026-03-06 12:31:48.122466,3273782169
2026-03-06 12:31:48.223706,3273782270
2026-03-06 12:31:48.324891,3273782372
2026-03-06 12:31:48.425961,3273782473
2026-03-06 12:31:48.526811,3273782574
2026-03-06 12:31:48.628468,3273782676
2026-03-06 12:31:48.729866,3273782777
2026-03-06 12:31:48.831169,3273782878
2026-03-06 12:31:48.932147,3273782979
2026-03-06 12:31:49.033448,3273783080
2026-03-06 12:31:49.13416,3273783181
2026-03-06 12:31:49.234446,3273783282
2026-03-06 12:31:49.335495,3273783382
2026-03-06 12:31:49.436037,3273783483
2026-03-06 12:31:49.536786,3273783584
2026-03-06 12:31:49.638081,3273783685
2026-03-06 12:31:49.739086,3273783786
2026-03-06 12:31:49.840357,3273783887
2026-03-06 12:31:49.941721,3273783989
2026-03-06 12:31:50.042863,3273784090
2026-03-06 12:31:50.144658,3273784192
2026-03-06 12:31:50.246569,3273784293
2026-03-06 12:31:50.348241,3273784395
2026-03-06 12:31:50.449198,3273784496
2026-03-06 12:31:50.550365,3273784597
2026-03-06 12:31:50.650939,3273784698
2026-03-06 12:31:50.75255,3273784799
2026-03-06 12:31:50.853222,3273784900
2026-03-06 12:31:50.955011,3273785002
2026-03-06 12:31:51.056083,3273785103
2026-03-06 12:31:51.157763,3273785205
2026-03-06 12:31:51.258864,3273785306
2026-03-06 12:31:51.360922,3273785407
2026-03-06 12:31:51.461391,3273785508
2026-03-06 12:31:51.563063,3273785610
2026-03-06 12:31:51.664317,3273785711
2026-03-06 12:31:51.765578,3273785813
2026-03-06 12:31:51.867066,3273785914
2026-03-06 12:31:51.968568,3273786016
2026-03-06 12:31:52.069934,3273786117
2026-03-06 12:31:52.172076,3273786219
2026-03-06 12:31:52.272974,3273786320
2026-03-06 12:31:52.373605,3273786421
2026-03-06 12:31:52.474258,3273786521
2026-03-06 12:31:52.575408,3273786623
2026-03-06 12:31:52.67642,3273786723
2026-03-06 12:31:52.777825,3273786825
2026-03-06 12:31:52.878667,3273786926
2026-03-06 12:31:52.979429,3273787027
2026-03-06 12:31:53.080485,3273787127
2026-03-06 12:31:53.181593,3273787229
2026-03-06 12:31:53.282485,3273787329
2026-03-06 12:31:53.383302,3273787430
2026-03-06 12:31:53.484234,3273787531
2026-03-06 12:31:53.585102,3273787632
2026-03-06 12:31:53.686207,3273787733
2026-03-06 12:31:53.786996,3273787834
2026-03-06 12:31:53.888281,3273787935
2026-03-06 12:31:53.989331,3273788036
2026-03-06 12:31:54.089981,3273788137
2026-03-06 12:31:54.191001,3273788238
2026-03-06 12:31:54.29169,3273788339
2026-03-06 12:31:54.392743,3273788440
2026-03-06 12:31:54.493534,3273788541
2026-03-06 12:31:54.594531,3273788641
2026-03-06 12:31:54.695252,3273788742
2026-03-06 12:31:54.796614,3273788843
2026-03-06 12:31:54.896982,3273788944
2026-03-06 12:31:54.998288,3273789045
2026-03-06 12:31:55.099121,3273789146
2026-03-06 12:31:55.199994,3273789247
2026-03-06 12:31:55.301459,3273789348
2026-03-06 12:31:55.403046,3273789450
2026-03-06 12:31:55.50458,3273789551
2026-03-06 12:31:55.60646,3273789653
2026-03-06 12:31:55.708143,3273789755
2026-03-06 12:31:55.809267,3273789856
2026-03-06 12:31:55.910409,3273789957
2026-03-06 12:31:56.011668,3273790059
2026-03-06 12:31:56.11314,3273790160
2026-03-06 12:31:56.21467,3273790261
2026-03-06 12:31:56.316266,3273790363
2026-03-06 12:31:56.418144,3273790465
2026-03-06 12:31:56.518971,3273790566
2026-03-06 12:31:56.620263,3273790667
2026-03-06 12:31:56.721773,3273790768
2026-03-06 12:31:56.822913,3273790870
2026-03-06 12:31:56.924297,3273790971
2026-03-06 12:31:57.024892,3273791072
2026-03-06 12:31:57.125997,3273791173
2026-03-06 12:31:57.226557,3273791273
2026-03-06 12:31:57.327619,3273791374
2026-03-06 12:31:57.428189,3273791475
2026-03-06 12:31:57.52924,3273791576
2026-03-06 12:31:57.629695,3273791677
2026-03-06 12:31:57.730658,3273791778
2026-03-06 12:31:57.831866,3273791879
2026-03-06 12:31:57.932259,3273791980
2026-03-06 12:31:58.033726,3273792081
2026-03-06 12:31:58.134989,3273792182
2026-03-06 12:31:58.235646,3273792282
2026-03-06 12:31:58.336078,3273792383
2026-03-06 12:31:58.436961,3273792484
2026-03-06 12:31:58.537797,3273792585
2026-03-06 12:31:58.638864,3273792686
2026-03-06 12:31:58.740433,3273792787
2026-03-06 12:31:58.841303,3273792888
2026-03-06 12:31:58.942101,3273792989
2026-03-06 12:31:59.043555,3273793090
2026-03-06 12:31:59.145342,3273793192
2026-03-06 12:31:59.246678,3273793293
2026-03-06 12:31:59.347606,3273793394
2026-03-06 12:31:59.448323,3273793495
2026-03-06 12:31:59.549181,3273793596
2026-03-06 12:31:59.650487,3273793697
2026-03-06 12:31:59.751431,3273793798
2026-03-06 12:31:59.852835,3273793900
2026-03-06 12:31:59.954233,3273794001
2026-03-06 12:32:00.055142,3273794102
2026-03-06 12:32:00.156381,3273794204
2026-03-06 12:32:00.25763,3273794304
2026-03-06 12:32:00.358279,3273794405
2026-03-06 12:32:00.459392,3273794507
2026-03-06 12:32:00.560617,3273794608
2026-03-06 12:32:00.661867,3273794709
2026-03-06 12:32:00.763136,3273794810
2026-03-06 12:32:00.864164,3273794911
2026-03-06 12:32:00.965458,3273795012
2026-03-06 12:32:01.066327,3273795113
2026-03-06 12:32:01.167381,3273795215
2026-03-06 12:32:01.268594,3273795316
2026-03-06 12:32:01.369653,3273795417
2026-03-06 12:32:01.471017,3273795518
2026-03-06 12:32:01.57205,3273795619
2026-03-06 12:32:01.672741,3273795720
2026-03-06 12:32:01.773288,3273795820
2026-03-06 12:32:01.874699,3273795921
2026-03-06 12:32:01.975372,3273796023
2026-03-06 12:32:02.076393,3273796124
2026-03-06 12:32:02.177322,3273796225
2026-03-06 12:32:02.278783,3273796326
2026-03-06 12:32:02.379736,3273796427
2026-03-06 12:32:02.481017,3273796528
2026-03-06 12:32:02.582118,3273796629
2026-03-06 12:32:02.683005,3273796730
2026-03-06 12:32:02.784544,3273796831
2026-03-06 12:32:02.88551,3273796932
2026-03-06 12:32:02.986309,3273797033
