time,RTD_Cal.CH4.channel_id
2026-03-06 12:31:43.787153,4
2026-03-06 12:31:43.788603,4
2026-03-06 12:31:43.788917,4
2026-03-06 12:31:43.789319,4
2026-03-06 12:31:43.789739,4
2026-03-06 12:31:43.790173,4
2026-03-06 12:31:43.790384,4
2026-03-06 12:31:43.790476,4
2026-03-06 12:31:43.790559,4
2026-03-06 12:31:43.790641,4
2026-03-06 12:31:43.794965,4
2026-03-06 12:31:43.795479,4
2026-03-06 12:31:43.795855,4
2026-03-06 12:31:43.796209,4
2026-03-06 12:31:43.796586,4
2026-03-06 12:31:43.856677,4
2026-03-06 12:31:43.957963,4
2026-03-06 12:31:44.058665,4
2026-03-06 12:31:44.159795,4
2026-03-06 12:31:44.261064,4
2026-03-06 12:31:44.361712,4
2026-03-06 12:31:44.462269,4
2026-03-06 12:31:44.564036,4
2026-03-06 12:31:44.665785,4
2026-03-06 12:31:44.767005,4
2026-03-06 12:31:44.867884,4
2026-03-06 12:31:44.969649,4
2026-03-06 12:31:45.07088,4
2026-03-06 12:31:45.172396,4
2026-03-06 12:31:45.273972,4
2026-03-06 12:31:45.375314,4
2026-03-06 12:31:45.476793,4
2026-03-06 12:31:45.577621,4
2026-03-06 12:31:45.67888,4
2026-03-06 12:31:45.780458,4
2026-03-06 12:31:45.881354,4
2026-03-06 12:31:45.98255,4
2026-03-06 12:31:46.084899,4
2026-03-06 12:31:46.185932,4
2026-03-06 12:31:46.287369,4
2026-03-06 12:31:46.389348,4
2026-03-06 12:31:46.490357,4
2026-03-06 12:31:46.592179,4
2026-03-06 12:31:46.693809,4
2026-03-06 12:31:46.795114,4
2026-03-06 12:31:46.895869,4
2026-03-06 12:31:46.997756,4
2026-03-06 12:31:47.098767,4
2026-03-06 12:31:47.199998,4
2026-03-06 12:31:47.301305,4
2026-03-06 12:31:47.403208,4
2026-03-06 12:31:47.503968,4
2026-03-06 12:31:47.605195,4
2026-03-06 12:31:47.706382,4
2026-03-06 12:31:47.807623,4
2026-03-06 12:31:47.909662,4
2026-03-06 12:31:48.010916,4
2026-03-06 12:31:48.112309,4
2026-03-06 12:31:48.213907,4
2026-03-06 12:31:48.314816,4
2026-03-06 12:31:48.417188,4
2026-03-06 12:31:48.518399,4
2026-03-06 12:31:48.619772,4
2026-03-06 12:31:48.721404,4
2026-03-06 12:31:48.821792,4
2026-03-06 12:31:48.923683,4
2026-03-06 12:31:49.024343,4
2026-03-06 12:31:49.12499,4
2026-03-06 12:31:49.225587,4
2026-03-06 12:31:49.326525,4
2026-03-06 12:31:49.427524,4
2026-03-06 12:31:49.52858,4
2026-03-06 12:31:49.630054,4
2026-03-06 12:31:49.731278,4
2026-03-06 12:31:49.832356,4
2026-03-06 12:31:49.933492,4
2026-03-06 12:31:50.03425,4
2026-03-06 12:31:50.135465,4
2026-03-06 12:31:50.236527,4
2026-03-06 12:31:50.337156,4
2026-03-06 12:31:50.438424,4
2026-03-06 12:31:50.539235,4
2026-03-06 12:31:50.639945,4
2026-03-06 12:31:50.741162,4
2026-03-06 12:31:50.84275,4
2026-03-06 12:31:50.943547,4
2026-03-06 12:31:51.044204,4
2026-03-06 12:31:51.146033,4
2026-03-06 12:31:51.24699,4
2026-03-06 12:31:51.348183,4
2026-03-06 12:31:51.449219,4
2026-03-06 12:31:51.550324,4
2026-03-06 12:31:51.651826,4
2026-03-06 12:31:51.752461,4
2026-03-06 12:31:51.853698,4
2026-03-06 12:31:51.955369,4
2026-03-06 12:31:52.056363,4
2026-03-06 12:31:52.158732,4
2026-03-06 12:31:52.259275,4
2026-03-06 12:31:52.361982,4
2026-03-06 12:31:52.462824,4
2026-03-06 12:31:52.564702,4
2026-03-06 12:31:52.666239,4
2026-03-06 12:31:52.767657,4
2026-03-06 12:31:52.869466,4
2026-03-06 12:31:52.970235,4
2026-03-06 12:31:53.071449,4
2026-03-06 12:31:53.172514,4
2026-03-06 12:31:53.272975,4
2026-03-06 12:31:53.374073,4
2026-03-06 12:31:53.47454,4
2026-03-06 12:31:53.57522,4
