time,LC.CH2.channel_id
2026-03-06 12:31:43.780129,2
2026-03-06 12:31:43.788316,2
2026-03-06 12:31:43.788798,2
2026-03-06 12:31:43.789211,2
2026-03-06 12:31:43.789649,2
2026-03-06 12:31:43.790023,2
2026-03-06 12:31:43.790368,2
2026-03-06 12:31:43.790462,2
2026-03-06 12:31:43.790548,2
2026-03-06 12:31:43.790622,2
2026-03-06 12:31:43.790696,2
2026-03-06 12:31:43.795383,2
2026-03-06 12:31:43.795748,2
2026-03-06 12:31:43.796109,2
2026-03-06 12:31:43.796489,2
2026-03-06 12:31:43.796822,2
2026-03-06 12:31:43.871605,2
2026-03-06 12:31:43.973173,2
2026-03-06 12:31:44.073601,2
2026-03-06 12:31:44.174617,2
2026-03-06 12:31:44.275707,2
2026-03-06 12:31:44.376457,2
2026-03-06 12:31:44.477643,2
2026-03-06 12:31:44.578401,2
2026-03-06 12:31:44.679712,2
2026-03-06 12:31:44.780234,2
2026-03-06 12:31:44.881864,2
2026-03-06 12:31:44.982694,2
2026-03-06 12:31:45.084417,2
2026-03-06 12:31:45.185332,2
2026-03-06 12:31:45.286295,2
2026-03-06 12:31:45.388038,2
2026-03-06 12:31:45.488784,2
2026-03-06 12:31:45.590043,2
2026-03-06 12:31:45.690896,2
2026-03-06 12:31:45.79174,2
2026-03-06 12:31:45.892787,2
2026-03-06 12:31:45.993367,2
2026-03-06 12:31:46.094614,2
2026-03-06 12:31:46.195295,2
2026-03-06 12:31:46.295728,2
2026-03-06 12:31:46.397247,2
2026-03-06 12:31:46.498375,2
2026-03-06 12:31:46.599306,2
2026-03-06 12:31:46.700848,2
2026-03-06 12:31:46.80209,2
2026-03-06 12:31:46.902815,2
2026-03-06 12:31:47.004157,2
2026-03-06 12:31:47.105777,2
2026-03-06 12:31:47.207285,2
2026-03-06 12:31:47.308327,2
2026-03-06 12:31:47.410097,2
2026-03-06 12:31:47.510681,2
2026-03-06 12:31:47.611756,2
2026-03-06 12:31:47.712519,2
2026-03-06 12:31:47.81334,2
2026-03-06 12:31:47.913957,2
2026-03-06 12:31:48.015801,2
2026-03-06 12:31:48.11651,2
2026-03-06 12:31:48.217394,2
2026-03-06 12:31:48.318278,2
2026-03-06 12:31:48.420012,2
2026-03-06 12:31:48.521148,2
2026-03-06 12:31:48.622555,2
2026-03-06 12:31:48.724506,2
2026-03-06 12:31:48.825262,2
2026-03-06 12:31:48.92585,2
2026-03-06 12:31:49.027084,2
2026-03-06 12:31:49.127813,2
