time,PT.Fuel_Upstream.raw_adc_counts
2026-03-06 12:31:43.780297,392026257
2026-03-06 12:31:43.788233,392737530
2026-03-06 12:31:43.78881,393415131
2026-03-06 12:31:43.789243,394074047
2026-03-06 12:31:43.78966,394695653
2026-03-06 12:31:43.790034,395281611
2026-03-06 12:31:43.790359,395830398
2026-03-06 12:31:43.790447,396362985
2026-03-06 12:31:43.790539,396852329
2026-03-06 12:31:43.790624,397316219
2026-03-06 12:31:43.790699,397734988
2026-03-06 12:31:43.795324,398129806
2026-03-06 12:31:43.795777,398483383
2026-03-06 12:31:43.796119,398791060
2026-03-06 12:31:43.796499,399070097
2026-03-06 12:31:43.796795,399310487
2026-03-06 12:31:43.870974,399522235
2026-03-06 12:31:43.973004,399688465
2026-03-06 12:31:44.074371,399823607
2026-03-06 12:31:44.175857,399914151
2026-03-06 12:31:44.277098,399972968
2026-03-06 12:31:44.378659,399996633
2026-03-06 12:31:44.479029,399982268
2026-03-06 12:31:44.58034,399932112
2026-03-06 12:31:44.681515,399845349
2026-03-06 12:31:44.783143,399716892
2026-03-06 12:31:44.883677,399560003
2026-03-06 12:31:44.984568,399363351
2026-03-06 12:31:45.085713,399132487
2026-03-06 12:31:45.186713,398861140
2026-03-06 12:31:45.287638,398558087
2026-03-06 12:31:45.388148,398214610
2026-03-06 12:31:45.488888,397836773
2026-03-06 12:31:45.59013,397426683
2026-03-06 12:31:45.691125,396983342
2026-03-06 12:31:45.792356,396507384
2026-03-06 12:31:45.89338,395996193
2026-03-06 12:31:45.994544,395442704
2026-03-06 12:31:46.096687,394865898
2026-03-06 12:31:46.197662,394253488
2026-03-06 12:31:46.298915,393615841
2026-03-06 12:31:46.399936,392935810
2026-03-06 12:31:46.501063,392238897
2026-03-06 12:31:46.602073,391504199
2026-03-06 12:31:46.703572,390743375
2026-03-06 12:31:46.80434,389950488
2026-03-06 12:31:46.905863,389129746
2026-03-06 12:31:47.007259,388278678
2026-03-06 12:31:47.108081,387408174
2026-03-06 12:31:47.209778,386510044
2026-03-06 12:31:47.311054,385594814
2026-03-06 12:31:47.413075,384639072
2026-03-06 12:31:47.513976,383670157
2026-03-06 12:31:47.615233,382684793
2026-03-06 12:31:47.716633,381671776
2026-03-06 12:31:47.817582,380640307
2026-03-06 12:31:47.919942,379576559
2026-03-06 12:31:48.021218,378506728
2026-03-06 12:31:48.122466,377429994
2026-03-06 12:31:48.223706,376322334
2026-03-06 12:31:48.324891,375212938
2026-03-06 12:31:48.425961,374080076
2026-03-06 12:31:48.526811,372935707
2026-03-06 12:31:48.628468,371774410
2026-03-06 12:31:48.729866,370607581
2026-03-06 12:31:48.831169,369437287
2026-03-06 12:31:48.932147,368247280
2026-03-06 12:31:49.033448,367058924
2026-03-06 12:31:49.13416,365867363
2026-03-06 12:31:49.234446,364672358
2026-03-06 12:31:49.335495,363463965
2026-03-06 12:31:49.436037,362260595
2026-03-06 12:31:49.536786,361052793
2026-03-06 12:31:49.638081,359840236
2026-03-06 12:31:49.739086,358626129
2026-03-06 12:31:49.840357,357411676
2026-03-06 12:31:49.941721,356203428
2026-03-06 12:31:50.042863,354998214
2026-03-06 12:31:50.144658,353787803
2026-03-06 12:31:50.246569,352584497
2026-03-06 12:31:50.348241,351388356
2026-03-06 12:31:50.449198,350207674
2026-03-06 12:31:50.550365,349031599
2026-03-06 12:31:50.650939,347873679
2026-03-06 12:31:50.75255,346721132
2026-03-06 12:31:50.853222,345583343
2026-03-06 12:31:50.955011,344462431
2026-03-06 12:31:51.056083,343343212
2026-03-06 12:31:51.157763,342242898
2026-03-06 12:31:51.258864,341168202
2026-03-06 12:31:51.360922,340101908
2026-03-06 12:31:51.461391,339063349
2026-03-06 12:31:51.563063,338033346
2026-03-06 12:31:51.664317,337026726
2026-03-06 12:31:51.765578,336040452
2026-03-06 12:31:51.867066,335082060
2026-03-06 12:31:51.968568,334140570
2026-03-06 12:31:52.069934,333214397
2026-03-06 12:31:52.172076,332324900
2026-03-06 12:31:52.272974,331462644
2026-03-06 12:31:52.373605,330622246
2026-03-06 12:31:52.474258,329820860
2026-03-06 12:31:52.575408,329041749
2026-03-06 12:31:52.67642,328283328
2026-03-06 12:31:52.777825,327558205
2026-03-06 12:31:52.878667,326866310
2026-03-06 12:31:52.979429,326198214
2026-03-06 12:31:53.080485,325574665
2026-03-06 12:31:53.181593,324963982
2026-03-06 12:31:53.282485,324396345
2026-03-06 12:31:53.383302,323866153
2026-03-06 12:31:53.484234,323364345
2026-03-06 12:31:53.585102,322891477
2026-03-06 12:31:53.686207,322453217
2026-03-06 12:31:53.786996,322056683
2026-03-06 12:31:53.888281,321690052
2026-03-06 12:31:53.989331,321362203
2026-03-06 12:31:54.089981,321065567
2026-03-06 12:31:54.191001,320808661
2026-03-06 12:31:54.29169,320577976
2026-03-06 12:31:54.392743,320390663
2026-03-06 12:31:54.493534,320244647
2026-03-06 12:31:54.594531,320122822
2026-03-06 12:31:54.695252,320045301
2026-03-06 12:31:54.796614,320006061
2026-03-06 12:31:54.896982,319999208
2026-03-06 12:31:54.998288,320031477
2026-03-06 12:31:55.099121,320105128
2026-03-06 12:31:55.199994,320212123
2026-03-06 12:31:55.301459,320351982
2026-03-06 12:31:55.403046,320530223
2026-03-06 12:31:55.50458,320741714
2026-03-06 12:31:55.60646,320992214
2026-03-06 12:31:55.708143,321288044
2026-03-06 12:31:55.809267,321606186
2026-03-06 12:31:55.910409,321966402
2026-03-06 12:31:56.011668,322363317
2026-03-06 12:31:56.11314,322784142
2026-03-06 12:31:56.21467,323252174
2026-03-06 12:31:56.316266,323754668
