time,PT.GSE_Mid.sample_ts_ms
2026-03-06 12:31:43.787983,3273776387
2026-03-06 12:31:43.788642,3273776488
2026-03-06 12:31:43.78895,3273776589
2026-03-06 12:31:43.789361,3273776690
2026-03-06 12:31:43.789769,3273776791
2026-03-06 12:31:43.790122,3273776893
2026-03-06 12:31:43.790391,3273776994
2026-03-06 12:31:43.790532,3273777096
2026-03-06 12:31:43.790614,3273777198
2026-03-06 12:31:43.790693,3273777300
2026-03-06 12:31:43.79531,3273777402
2026-03-06 12:31:43.795732,3273777504
2026-03-06 12:31:43.796095,3273777606
2026-03-06 12:31:43.79646,3273777708
2026-03-06 12:31:43.796787,3273777809
2026-03-06 12:31:43.862488,3273777910
2026-03-06 12:31:43.963954,3273778011
2026-03-06 12:31:44.065535,3273778112
2026-03-06 12:31:44.166568,3273778213
2026-03-06 12:31:44.267768,3273778315
2026-03-06 12:31:44.369388,3273778416
2026-03-06 12:31:44.470305,3273778517
2026-03-06 12:31:44.571258,3273778618
2026-03-06 12:31:44.673372,3273778720
2026-03-06 12:31:44.774746,3273778821
2026-03-06 12:31:44.876267,3273778923
2026-03-06 12:31:44.977149,3273779024
2026-03-06 12:31:45.07866,3273779125
2026-03-06 12:31:45.180983,3273779228
2026-03-06 12:31:45.282227,3273779329
2026-03-06 12:31:45.38431,3273779431
2026-03-06 12:31:45.484886,3273779532
2026-03-06 12:31:45.586179,3273779633
2026-03-06 12:31:45.687644,3273779734
2026-03-06 12:31:45.790124,3273779836
2026-03-06 12:31:45.890898,3273779937
2026-03-06 12:31:45.992174,3273780039
2026-03-06 12:31:46.093778,3273780141
2026-03-06 12:31:46.194725,3273780242
2026-03-06 12:31:46.296525,3273780343
2026-03-06 12:31:46.397441,3273780444
2026-03-06 12:31:46.498588,3273780546
2026-03-06 12:31:46.600202,3273780647
2026-03-06 12:31:46.701504,3273780749
2026-03-06 12:31:46.803099,3273780850
2026-03-06 12:31:46.904519,3273780951
2026-03-06 12:31:47.006531,3273781053
2026-03-06 12:31:47.107416,3273781154
2026-03-06 12:31:47.209211,3273781256
2026-03-06 12:31:47.30985,3273781357
2026-03-06 12:31:47.411189,3273781458
2026-03-06 12:31:47.512181,3273781559
2026-03-06 12:31:47.613592,3273781660
2026-03-06 12:31:47.715345,3273781762
2026-03-06 12:31:47.817077,3273781864
2026-03-06 12:31:47.918062,3273781965
2026-03-06 12:31:48.019269,3273782066
2026-03-06 12:31:48.12075,3273782167
2026-03-06 12:31:48.221596,3273782268
2026-03-06 12:31:48.322541,3273782370
2026-03-06 12:31:48.424285,3273782471
2026-03-06 12:31:48.525697,3273782572
2026-03-06 12:31:48.626215,3273782673
2026-03-06 12:31:48.727582,3273782774
2026-03-06 12:31:48.828297,3273782876
2026-03-06 12:31:48.929292,3273782976
2026-03-06 12:31:49.030633,3273783078
2026-03-06 12:31:49.131295,3273783179
2026-03-06 12:31:49.232187,3273783279
2026-03-06 12:31:49.333732,3273783381
2026-03-06 12:31:49.434362,3273783482
2026-03-06 12:31:49.535751,3273783583
2026-03-06 12:31:49.636917,3273783684
2026-03-06 12:31:49.738511,3273783785
2026-03-06 12:31:49.839234,3273783886
2026-03-06 12:31:49.94046,3273783987
2026-03-06 12:31:50.041155,3273784088
2026-03-06 12:31:50.142436,3273784190
2026-03-06 12:31:50.244283,3273784291
2026-03-06 12:31:50.3457,3273784392
2026-03-06 12:31:50.44687,3273784493
2026-03-06 12:31:50.547457,3273784594
2026-03-06 12:31:50.648683,3273784695
2026-03-06 12:31:50.749648,3273784797
2026-03-06 12:31:50.850431,3273784897
2026-03-06 12:31:50.951528,3273784998
2026-03-06 12:31:51.052178,3273785099
2026-03-06 12:31:51.153168,3273785200
2026-03-06 12:31:51.254108,3273785301
2026-03-06 12:31:51.35518,3273785402
2026-03-06 12:31:51.456244,3273785503
2026-03-06 12:31:51.557357,3273785604
2026-03-06 12:31:51.658255,3273785705
2026-03-06 12:31:51.759213,3273785806
2026-03-06 12:31:51.860927,3273785907
2026-03-06 12:31:51.961793,3273786009
2026-03-06 12:31:52.062688,3273786110
2026-03-06 12:31:52.164622,3273786211
2026-03-06 12:31:52.264983,3273786312
2026-03-06 12:31:52.366581,3273786413
2026-03-06 12:31:52.467692,3273786515
2026-03-06 12:31:52.569694,3273786616
2026-03-06 12:31:52.670574,3273786718
2026-03-06 12:31:52.772048,3273786819
2026-03-06 12:31:52.872865,3273786920
2026-03-06 12:31:52.973713,3273787021
2026-03-06 12:31:53.074648,3273787122
2026-03-06 12:31:53.175681,3273787223
2026-03-06 12:31:53.276356,3273787324
2026-03-06 12:31:53.377734,3273787425
2026-03-06 12:31:53.478022,3273787525
2026-03-06 12:31:53.578833,3273787626
2026-03-06 12:31:53.679869,3273787727
2026-03-06 12:31:53.780713,3273787828
2026-03-06 12:31:53.881883,3273787929
2026-03-06 12:31:53.983477,3273788030
2026-03-06 12:31:54.084348,3273788132
2026-03-06 12:31:54.185214,3273788232
2026-03-06 12:31:54.285971,3273788333
2026-03-06 12:31:54.38695,3273788434
2026-03-06 12:31:54.488484,3273788535
2026-03-06 12:31:54.589241,3273788636
2026-03-06 12:31:54.690659,3273788738
2026-03-06 12:31:54.791447,3273788838
2026-03-06 12:31:54.892507,3273788939
2026-03-06 12:31:54.993181,3273789040
2026-03-06 12:31:55.093993,3273789141
2026-03-06 12:31:55.194874,3273789242
2026-03-06 12:31:55.295937,3273789343
2026-03-06 12:31:55.396365,3273789444
2026-03-06 12:31:55.498164,3273789545
2026-03-06 12:31:55.599177,3273789646
2026-03-06 12:31:55.700178,3273789747
2026-03-06 12:31:55.800772,3273789848
2026-03-06 12:31:55.901868,3273789949
2026-03-06 12:31:56.003055,3273790050
2026-03-06 12:31:56.104539,3273790151
2026-03-06 12:31:56.205798,3273790253
2026-03-06 12:31:56.307248,3273790354
2026-03-06 12:31:56.408741,3273790456
2026-03-06 12:31:56.510253,3273790557
2026-03-06 12:31:56.611891,3273790659
2026-03-06 12:31:56.713094,3273790760
2026-03-06 12:31:56.813997,3273790861
2026-03-06 12:31:56.915258,3273790962
2026-03-06 12:31:57.01631,3273791063
2026-03-06 12:31:57.118305,3273791165
2026-03-06 12:31:57.22017,3273791267
2026-03-06 12:31:57.321165,3273791368
2026-03-06 12:31:57.422517,3273791469
2026-03-06 12:31:57.523345,3273791570
2026-03-06 12:31:57.624025,3273791671
2026-03-06 12:31:57.725183,3273791772
2026-03-06 12:31:57.825662,3273791873
2026-03-06 12:31:57.926437,3273791974
2026-03-06 12:31:58.027399,3273792075
2026-03-06 12:31:58.129264,3273792176
2026-03-06 12:31:58.23221,3273792279
2026-03-06 12:31:58.333195,3273792380
2026-03-06 12:31:58.434113,3273792481
2026-03-06 12:31:58.535082,3273792582
2026-03-06 12:31:58.636642,3273792684
2026-03-06 12:31:58.738105,3273792785
2026-03-06 12:31:58.839419,3273792886
2026-03-06 12:31:58.940211,3273792987
2026-03-06 12:31:59.041273,3273793088
2026-03-06 12:31:59.142463,3273793189
2026-03-06 12:31:59.243837,3273793291
2026-03-06 12:31:59.345836,3273793393
2026-03-06 12:31:59.447266,3273793494
2026-03-06 12:31:59.548675,3273793596
2026-03-06 12:31:59.649834,3273793697
2026-03-06 12:31:59.751392,3273793798
2026-03-06 12:31:59.852305,3273793899
2026-03-06 12:31:59.953677,3273794001
2026-03-06 12:32:00.055101,3273794102
2026-03-06 12:32:00.156327,3273794203
2026-03-06 12:32:00.257039,3273794304
2026-03-06 12:32:00.358235,3273794405
2026-03-06 12:32:00.45934,3273794506
2026-03-06 12:32:00.560053,3273794607
2026-03-06 12:32:00.661196,3273794708
2026-03-06 12:32:00.761443,3273794809
2026-03-06 12:32:00.862551,3273794909
2026-03-06 12:32:00.9635,3273795010
2026-03-06 12:32:01.06386,3273795111
2026-03-06 12:32:01.165048,3273795212
2026-03-06 12:32:01.265673,3273795313
2026-03-06 12:32:01.366668,3273795414
2026-03-06 12:32:01.467728,3273795515
2026-03-06 12:32:01.569116,3273795616
2026-03-06 12:32:01.670385,3273795717
2026-03-06 12:32:01.771428,3273795818
2026-03-06 12:32:01.872565,3273795919
2026-03-06 12:32:01.973668,3273796021
2026-03-06 12:32:02.074675,3273796122
2026-03-06 12:32:02.175601,3273796223
2026-03-06 12:32:02.276882,3273796324
2026-03-06 12:32:02.378014,3273796425
2026-03-06 12:32:02.478715,3273796526
2026-03-06 12:32:02.579779,3273796627
2026-03-06 12:32:02.680721,3273796728
2026-03-06 12:32:02.781543,3273796829
2026-03-06 12:32:02.882085,3273796929
2026-03-06 12:32:02.983412,3273797030
2026-03-06 12:32:03.083712,3273797131
2026-03-06 12:32:03.184629,3273797232
2026-03-06 12:32:03.285316,3273797333
2026-03-06 12:32:03.3862,3273797433
2026-03-06 12:32:03.487238,3273797534
2026-03-06 12:32:03.588002,3273797635
2026-03-06 12:32:03.688695,3273797736
2026-03-06 12:32:03.789802,3273797837
2026-03-06 12:32:03.890492,3273797937
2026-03-06 12:32:03.991674,3273798039
2026-03-06 12:32:04.092966,3273798140
2026-03-06 12:32:04.193681,3273798241
2026-03-06 12:32:04.294861,3273798342
2026-03-06 12:32:04.395824,3273798443
2026-03-06 12:32:04.497439,3273798544
2026-03-06 12:32:04.598349,3273798645
2026-03-06 12:32:04.699392,3273798746
2026-03-06 12:32:04.800048,3273798847
2026-03-06 12:32:04.901244,3273798948
2026-03-06 12:32:05.001846,3273799049
2026-03-06 12:32:05.102613,3273799150
2026-03-06 12:32:05.203597,3273799251
2026-03-06 12:32:05.304624,3273799352
2026-03-06 12:32:05.405563,3273799453
2026-03-06 12:32:05.506757,3273799554
2026-03-06 12:32:05.608005,3273799655
2026-03-06 12:32:05.708335,3273799756
2026-03-06 12:32:05.809299,3273799856
2026-03-06 12:32:05.910158,3273799957
2026-03-06 12:32:06.010994,3273800058
