time,PT.Fuel_Fill_Press.raw_adc_counts
2026-03-06 12:31:43.78046,364513746
2026-03-06 12:31:43.788263,363316261
2026-03-06 12:31:43.788829,362098137
2026-03-06 12:31:43.789259,360892988
2026-03-06 12:31:43.789677,359671082
2026-03-06 12:31:43.790051,358465101
2026-03-06 12:31:43.790363,357250901
2026-03-06 12:31:43.790451,356038382
2026-03-06 12:31:43.790543,354809087
2026-03-06 12:31:43.790628,353598476
2026-03-06 12:31:43.790702,352398559
2026-03-06 12:31:43.795347,351201094
2026-03-06 12:31:43.795793,350000029
2026-03-06 12:31:43.796134,348835641
2026-03-06 12:31:43.796514,347671260
2026-03-06 12:31:43.796805,346524980
2026-03-06 12:31:43.871007,345390979
2026-03-06 12:31:43.973066,344261524
2026-03-06 12:31:44.074432,343148139
2026-03-06 12:31:44.17591,342053576
2026-03-06 12:31:44.277127,340978008
2026-03-06 12:31:44.378714,339913795
2026-03-06 12:31:44.479074,338875917
2026-03-06 12:31:44.580406,337860302
2026-03-06 12:31:44.681552,336853992
2026-03-06 12:31:44.783205,335875190
2026-03-06 12:31:44.883719,334913771
2026-03-06 12:31:44.984636,333985353
2026-03-06 12:31:45.085784,333082384
2026-03-06 12:31:45.1868,332198298
2026-03-06 12:31:45.287747,331342665
2026-03-06 12:31:45.388247,330504997
2026-03-06 12:31:45.488995,329704395
2026-03-06 12:31:45.590278,328922852
2026-03-06 12:31:45.691212,328176139
2026-03-06 12:31:45.792507,327455188
2026-03-06 12:31:45.893467,326769452
2026-03-06 12:31:45.994648,326107920
2026-03-06 12:31:46.096801,325470703
2026-03-06 12:31:46.19773,324878384
2026-03-06 12:31:46.299008,324308915
2026-03-06 12:31:46.40003,323785663
2026-03-06 12:31:46.50115,323285403
2026-03-06 12:31:46.602168,322819842
2026-03-06 12:31:46.703692,322389019
2026-03-06 12:31:46.804422,321993435
2026-03-06 12:31:46.905996,321628783
2026-03-06 12:31:47.007348,321302847
2026-03-06 12:31:47.108135,321018255
2026-03-06 12:31:47.209899,320759435
2026-03-06 12:31:47.31109,320546674
2026-03-06 12:31:47.413144,320365471
2026-03-06 12:31:47.514075,320215705
2026-03-06 12:31:47.615369,320106369
2026-03-06 12:31:47.716753,320037068
2026-03-06 12:31:47.817677,320007349
2026-03-06 12:31:47.920044,320007162
2026-03-06 12:31:48.021328,320048021
2026-03-06 12:31:48.122637,320121842
2026-03-06 12:31:48.223838,320239541
2026-03-06 12:31:48.325018,320383274
2026-03-06 12:31:48.426068,320572369
2026-03-06 12:31:48.526887,320801706
2026-03-06 12:31:48.628564,321056135
2026-03-06 12:31:48.729949,321349935
2026-03-06 12:31:48.831273,321684426
2026-03-06 12:31:48.932226,322053102
2026-03-06 12:31:49.033492,322449236
2026-03-06 12:31:49.134243,322880850
2026-03-06 12:31:49.234535,323353191
2026-03-06 12:31:49.335581,323848825
2026-03-06 12:31:49.436094,324382537
2026-03-06 12:31:49.536844,324950973
2026-03-06 12:31:49.638178,325550806
2026-03-06 12:31:49.739195,326179445
2026-03-06 12:31:49.840385,326849767
2026-03-06 12:31:49.941764,327547766
2026-03-06 12:31:50.042922,328270958
2026-03-06 12:31:50.144694,329028531
2026-03-06 12:31:50.246633,329816445
2026-03-06 12:31:50.348335,330624795
2026-03-06 12:31:50.449284,331461827
2026-03-06 12:31:50.550453,332334246
2026-03-06 12:31:50.651021,333215052
2026-03-06 12:31:50.752581,334134287
2026-03-06 12:31:50.853306,335062345
2026-03-06 12:31:50.955123,336026982
2026-03-06 12:31:51.056145,337014830
2026-03-06 12:31:51.157864,338022894
2026-03-06 12:31:51.258934,339045174
2026-03-06 12:31:51.361049,340088189
2026-03-06 12:31:51.461437,341150832
2026-03-06 12:31:51.563097,342232591
2026-03-06 12:31:51.664377,343328825
2026-03-06 12:31:51.765633,344451386
2026-03-06 12:31:51.867183,345570414
2026-03-06 12:31:51.968641,346720347
2026-03-06 12:31:52.069985,347870028
2026-03-06 12:31:52.172138,349041702
2026-03-06 12:31:52.273003,350217424
2026-03-06 12:31:52.373671,351389178
2026-03-06 12:31:52.474296,352577176
2026-03-06 12:31:52.575539,353767044
2026-03-06 12:31:52.676521,354967072
2026-03-06 12:31:52.777917,356177743
2026-03-06 12:31:52.878776,357388733
2026-03-06 12:31:52.979513,358600261
2026-03-06 12:31:53.080584,359801842
2026-03-06 12:31:53.181659,361014493
2026-03-06 12:31:53.282543,362227299
2026-03-06 12:31:53.383377,363431687
2026-03-06 12:31:53.484363,364634747
2026-03-06 12:31:53.585182,365835107
2026-03-06 12:31:53.686265,367033860
2026-03-06 12:31:53.787035,368225552
2026-03-06 12:31:53.88837,369405065
2026-03-06 12:31:53.989423,370586112
2026-03-06 12:31:54.090056,371747303
2026-03-06 12:31:54.191065,372898567
2026-03-06 12:31:54.291743,374036861
2026-03-06 12:31:54.392806,375162137
2026-03-06 12:31:54.493592,376276170
2026-03-06 12:31:54.594583,377375092
2026-03-06 12:31:54.695382,378452881
2026-03-06 12:31:54.796702,379523537
2026-03-06 12:31:54.897053,380569904
2026-03-06 12:31:54.998344,381599334
2026-03-06 12:31:55.099186,382609622
2026-03-06 12:31:55.200042,383601255
