time,PT.GN2_Regulated.raw_adc_counts
2026-03-06 12:31:43.780593,321604905
2026-03-06 12:31:43.788282,321280500
2026-03-06 12:31:43.788841,320994728
2026-03-06 12:31:43.78927,320747090
2026-03-06 12:31:43.789689,320532667
2026-03-06 12:31:43.790062,320353623
2026-03-06 12:31:43.790365,320212174
2026-03-06 12:31:43.790453,320102586
2026-03-06 12:31:43.790545,320029022
2026-03-06 12:31:43.79063,320002151
2026-03-06 12:31:43.790704,320013330
2026-03-06 12:31:43.795361,320047533
2026-03-06 12:31:43.795803,320131401
2026-03-06 12:31:43.796144,320252777
2026-03-06 12:31:43.796523,320401374
2026-03-06 12:31:43.796812,320595723
2026-03-06 12:31:43.871029,320819378
2026-03-06 12:31:43.973098,321084352
2026-03-06 12:31:44.074465,321383011
2026-03-06 12:31:44.175941,321724542
2026-03-06 12:31:44.277144,322093792
2026-03-06 12:31:44.378745,322501470
2026-03-06 12:31:44.479104,322934532
2026-03-06 12:31:44.580432,323413425
2026-03-06 12:31:44.681576,323918916
2026-03-06 12:31:44.783243,324463840
2026-03-06 12:31:44.883741,325035127
2026-03-06 12:31:44.984675,325633441
2026-03-06 12:31:45.085814,326265836
2026-03-06 12:31:45.186832,326940687
2026-03-06 12:31:45.287802,327633088
2026-03-06 12:31:45.388299,328359922
2026-03-06 12:31:45.489055,329115056
2026-03-06 12:31:45.590352,329893069
2026-03-06 12:31:45.691271,330706142
2026-03-06 12:31:45.792604,331551279
2026-03-06 12:31:45.893523,332421334
2026-03-06 12:31:45.994702,333303135
2026-03-06 12:31:46.096861,334230808
2026-03-06 12:31:46.197769,335165874
2026-03-06 12:31:46.299041,336131767
2026-03-06 12:31:46.400061,337111498
2026-03-06 12:31:46.501199,338121378
2026-03-06 12:31:46.602223,339146677
2026-03-06 12:31:46.703748,340187900
2026-03-06 12:31:46.804464,341259822
2026-03-06 12:31:46.906047,342332879
2026-03-06 12:31:47.007403,343440110
2026-03-06 12:31:47.108163,344556416
2026-03-06 12:31:47.209962,345679605
2026-03-06 12:31:47.311111,346823405
2026-03-06 12:31:47.413175,347981123
2026-03-06 12:31:47.514123,349148000
2026-03-06 12:31:47.615422,350316004
2026-03-06 12:31:47.716818,351501670
2026-03-06 12:31:47.817745,352692667
2026-03-06 12:31:47.920102,353899840
2026-03-06 12:31:48.02139,355101582
2026-03-06 12:31:48.122725,356310726
2026-03-06 12:31:48.223896,357527626
2026-03-06 12:31:48.325083,358734339
2026-03-06 12:31:48.426128,359950367
2026-03-06 12:31:48.526927,361166704
2026-03-06 12:31:48.628596,362378203
2026-03-06 12:31:48.730005,363590061
2026-03-06 12:31:48.831316,364798419
2026-03-06 12:31:48.932262,366003340
