time,PT.Fuel_Downstream.raw_adc_counts
2026-03-06 12:31:43.780408,389063808
2026-03-06 12:31:43.788253,388220000
2026-03-06 12:31:43.788822,387343596
2026-03-06 12:31:43.789254,386446142
2026-03-06 12:31:43.789672,385522733
2026-03-06 12:31:43.790045,384574716
2026-03-06 12:31:43.790361,383606717
2026-03-06 12:31:43.790449,382605626
2026-03-06 12:31:43.790541,381587770
2026-03-06 12:31:43.790627,380540058
2026-03-06 12:31:43.790701,379485069
2026-03-06 12:31:43.795339,378401911
2026-03-06 12:31:43.795788,377309604
2026-03-06 12:31:43.79613,376201911
2026-03-06 12:31:43.796509,375079455
2026-03-06 12:31:43.796802,373959044
2026-03-06 12:31:43.870997,372813415
2026-03-06 12:31:43.97305,371657175
2026-03-06 12:31:44.074416,370482007
2026-03-06 12:31:44.175895,369307935
2026-03-06 12:31:44.277118,368121790
2026-03-06 12:31:44.378699,366924445
2026-03-06 12:31:44.47906,365723237
2026-03-06 12:31:44.580393,364526934
2026-03-06 12:31:44.681541,363311754
2026-03-06 12:31:44.783189,362102459
2026-03-06 12:31:44.883707,360892643
2026-03-06 12:31:44.984617,359680924
2026-03-06 12:31:45.08577,358469241
2026-03-06 12:31:45.186756,357255866
2026-03-06 12:31:45.287714,356050077
2026-03-06 12:31:45.388215,354856388
2026-03-06 12:31:45.488964,353652911
2026-03-06 12:31:45.590249,352465425
2026-03-06 12:31:45.691186,351277988
2026-03-06 12:31:45.792446,350096306
2026-03-06 12:31:45.89344,348916233
2026-03-06 12:31:45.994621,347756327
2026-03-06 12:31:46.096766,346604510
2026-03-06 12:31:46.197715,345468514
2026-03-06 12:31:46.298992,344339787
2026-03-06 12:31:46.399993,343235294
2026-03-06 12:31:46.501124,342137101
2026-03-06 12:31:46.602137,341061933
2026-03-06 12:31:46.703651,340003723
2026-03-06 12:31:46.804401,338963120
2026-03-06 12:31:46.90593,337937249
2026-03-06 12:31:47.007317,336927779
2026-03-06 12:31:47.108118,335953258
2026-03-06 12:31:47.209859,334992777
2026-03-06 12:31:47.311079,334057915
2026-03-06 12:31:47.413111,333135059
2026-03-06 12:31:47.514045,332250620
2026-03-06 12:31:47.615302,331384872
2026-03-06 12:31:47.716708,330552357
2026-03-06 12:31:47.817648,329743256
2026-03-06 12:31:47.920013,328952243
2026-03-06 12:31:48.021301,328203962
2026-03-06 12:31:48.1226,327487006
2026-03-06 12:31:48.223806,326787957
2026-03-06 12:31:48.324988,326131649
2026-03-06 12:31:48.426039,325496769
2026-03-06 12:31:48.526867,324898684
2026-03-06 12:31:48.628547,324332330
2026-03-06 12:31:48.729925,323792245
2026-03-06 12:31:48.831247,323292848
2026-03-06 12:31:48.93221,322828683
2026-03-06 12:31:49.033479,322398428
2026-03-06 12:31:49.134229,322003964
2026-03-06 12:31:49.234524,321645781
2026-03-06 12:31:49.335565,321319415
2026-03-06 12:31:49.436083,321031528
2026-03-06 12:31:49.53683,320771214
2026-03-06 12:31:49.638147,320558043
2026-03-06 12:31:49.739172,320371211
2026-03-06 12:31:49.840376,320226004
2026-03-06 12:31:49.941752,320110888
2026-03-06 12:31:50.042907,320036395
2026-03-06 12:31:50.144687,320005308
2026-03-06 12:31:50.246615,320001921
2026-03-06 12:31:50.348306,320038755
2026-03-06 12:31:50.449265,320118052
2026-03-06 12:31:50.55042,320231296
2026-03-06 12:31:50.651009,320376454
2026-03-06 12:31:50.752573,320556906
2026-03-06 12:31:50.853284,320783546
2026-03-06 12:31:50.955094,321036689
2026-03-06 12:31:51.056128,321328009
2026-03-06 12:31:51.157835,321661152
2026-03-06 12:31:51.258913,322026086
2026-03-06 12:31:51.361008,322422394
2026-03-06 12:31:51.461409,322853635
2026-03-06 12:31:51.563086,323324976
2026-03-06 12:31:51.664356,323822627
2026-03-06 12:31:51.765615,324363328
2026-03-06 12:31:51.867155,324933757
2026-03-06 12:31:51.968618,325530909
2026-03-06 12:31:52.069978,326169785
2026-03-06 12:31:52.172129,326842192
2026-03-06 12:31:52.272996,327529027
2026-03-06 12:31:52.373653,328249213
2026-03-06 12:31:52.474288,328997506
2026-03-06 12:31:52.5755,329786139
2026-03-06 12:31:52.676499,330585386
2026-03-06 12:31:52.777894,331425303
2026-03-06 12:31:52.878746,332289528
2026-03-06 12:31:52.979497,333170924
2026-03-06 12:31:53.080557,334077603
2026-03-06 12:31:53.181645,335014374
2026-03-06 12:31:53.28253,335974272
2026-03-06 12:31:53.383361,336949689
2026-03-06 12:31:53.484342,337952242
2026-03-06 12:31:53.585166,338972566
2026-03-06 12:31:53.686254,340012841
2026-03-06 12:31:53.787028,341078030
2026-03-06 12:31:53.888352,342152440
2026-03-06 12:31:53.989411,343241857
2026-03-06 12:31:54.090038,344349390
2026-03-06 12:31:54.191052,345472034
2026-03-06 12:31:54.29173,346608806
2026-03-06 12:31:54.392792,347749369
2026-03-06 12:31:54.493581,348908798
2026-03-06 12:31:54.594569,350080664
2026-03-06 12:31:54.695349,351251350
2026-03-06 12:31:54.796682,352442843
2026-03-06 12:31:54.89704,353632313
2026-03-06 12:31:54.998332,354834368
2026-03-06 12:31:55.099174,356031732
2026-03-06 12:31:55.20003,357238934
2026-03-06 12:31:55.301516,358450232
2026-03-06 12:31:55.403086,359681121
2026-03-06 12:31:55.504643,360892035
2026-03-06 12:31:55.606542,362114962
2026-03-06 12:31:55.708242,363335101
2026-03-06 12:31:55.8093,364544061
2026-03-06 12:31:55.910485,365744951
2026-03-06 12:31:56.011717,366947122
2026-03-06 12:31:56.113215,368134656
2026-03-06 12:31:56.214732,369322967
2026-03-06 12:31:56.316303,370509007
2026-03-06 12:31:56.418187,371678746
2026-03-06 12:31:56.519066,372841901
2026-03-06 12:31:56.62031,373975906
2026-03-06 12:31:56.721821,375108404
2026-03-06 12:31:56.823012,376230002
2026-03-06 12:31:56.924404,377332734
2026-03-06 12:31:57.024957,378419627
2026-03-06 12:31:57.126108,379476899
2026-03-06 12:31:57.226651,380530668
2026-03-06 12:31:57.327714,381558938
2026-03-06 12:31:57.42825,382567841
2026-03-06 12:31:57.529309,383552234
2026-03-06 12:31:57.629757,384523469
2026-03-06 12:31:57.730721,385467652
2026-03-06 12:31:57.831928,386391594
2026-03-06 12:31:57.932304,387285296
2026-03-06 12:31:58.033762,388160355
2026-03-06 12:31:58.13503,389015087
2026-03-06 12:31:58.235689,389827650
2026-03-06 12:31:58.336096,390624940
2026-03-06 12:31:58.437008,391382639
2026-03-06 12:31:58.537824,392116599
2026-03-06 12:31:58.638885,392830024
2026-03-06 12:31:58.740509,393511565
2026-03-06 12:31:58.841337,394157764
2026-03-06 12:31:58.94215,394767454
2026-03-06 12:31:59.043581,395349890
2026-03-06 12:31:59.145389,395911763
2026-03-06 12:31:59.246724,396422770
2026-03-06 12:31:59.347654,396910014
2026-03-06 12:31:59.448385,397362351
2026-03-06 12:31:59.549225,397778641
2026-03-06 12:31:59.650525,398156320
2026-03-06 12:31:59.751463,398506362
2026-03-06 12:31:59.852895,398818819
2026-03-06 12:31:59.954287,399087075
2026-03-06 12:32:00.055176,399327372
2026-03-06 12:32:00.156416,399535201
2026-03-06 12:32:00.25768,399697327
2026-03-06 12:32:00.358312,399829443
2026-03-06 12:32:00.459432,399923877
2026-03-06 12:32:00.560643,399979702
2026-03-06 12:32:00.661919,400002628
2026-03-06 12:32:00.763194,399978797
2026-03-06 12:32:00.864211,399933015
2026-03-06 12:32:00.965521,399840158
2026-03-06 12:32:01.066386,399715161
2026-03-06 12:32:01.167446,399548031
2026-03-06 12:32:01.268639,399346210
2026-03-06 12:32:01.369707,399110012
2026-03-06 12:32:01.471069,398844103
2026-03-06 12:32:01.572106,398531880
2026-03-06 12:32:01.672795,398186393
2026-03-06 12:32:01.773333,397816964
2026-03-06 12:32:01.874756,397398165
2026-03-06 12:32:01.975439,396947738
2026-03-06 12:32:02.076437,396472773
2026-03-06 12:32:02.177376,395961939
2026-03-06 12:32:02.278828,395410828
2026-03-06 12:32:02.379767,394831368
2026-03-06 12:32:02.481078,394214389
2026-03-06 12:32:02.582199,393569478
2026-03-06 12:32:02.683038,392893513
2026-03-06 12:32:02.784584,392188756
2026-03-06 12:32:02.885545,391459585
2026-03-06 12:32:02.986358,390693560
2026-03-06 12:32:03.087659,389898064
2026-03-06 12:32:03.189399,389075579
2026-03-06 12:32:03.290639,388227640
2026-03-06 12:32:03.391572,387359351
2026-03-06 12:32:03.493187,386454498
2026-03-06 12:32:03.593838,385530828
2026-03-06 12:32:03.69504,384590166
2026-03-06 12:32:03.795636,383629197
2026-03-06 12:32:03.897095,382633993
2026-03-06 12:32:03.99771,381627044
2026-03-06 12:32:04.098765,380594359
2026-03-06 12:32:04.199921,379553517
2026-03-06 12:32:04.300992,378484156
2026-03-06 12:32:04.402287,377402046
2026-03-06 12:32:04.503079,376302035
2026-03-06 12:32:04.604069,375180909
2026-03-06 12:32:04.705223,374052448
2026-03-06 12:32:04.80661,372904815
2026-03-06 12:32:04.908144,371745567
2026-03-06 12:32:05.00941,370586801
2026-03-06 12:32:05.110157,369409180
2026-03-06 12:32:05.211653,368230471
2026-03-06 12:32:05.313246,367026193
2026-03-06 12:32:05.415083,365835884
2026-03-06 12:32:05.515238,364636779
2026-03-06 12:32:05.615845,363430350
2026-03-06 12:32:05.717143,362212962
2026-03-06 12:32:05.818171,361011485
2026-03-06 12:32:05.918859,359793741
2026-03-06 12:32:06.019359,358585185
2026-03-06 12:32:06.120913,357375782
2026-03-06 12:32:06.22158,356170863
2026-03-06 12:32:06.323233,354967494
2026-03-06 12:32:06.424789,353759435
2026-03-06 12:32:06.525656,352558989
2026-03-06 12:32:06.626883,351374338
2026-03-06 12:32:06.728185,350192342
2026-03-06 12:32:06.829565,349016345
2026-03-06 12:32:06.930345,347850700
2026-03-06 12:32:07.031453,346703615
2026-03-06 12:32:07.132662,345563852
2026-03-06 12:32:07.233764,344435983
2026-03-06 12:32:07.334961,343328013
2026-03-06 12:32:07.436126,342238942
2026-03-06 12:32:07.536661,341165732
2026-03-06 12:32:07.637563,340106529
2026-03-06 12:32:07.738607,339062099
2026-03-06 12:32:07.839922,338031661
2026-03-06 12:32:07.940616,337036527
2026-03-06 12:32:08.04209,336050258
2026-03-06 12:32:08.143547,335084738
2026-03-06 12:32:08.244716,334142292
2026-03-06 12:32:08.345868,333229508
2026-03-06 12:32:08.446897,332342590
2026-03-06 12:32:08.547925,331481365
2026-03-06 12:32:08.649052,330641989
2026-03-06 12:32:08.749834,329830254
2026-03-06 12:32:08.850909,329053862
2026-03-06 12:32:08.951848,328301301
2026-03-06 12:32:09.053422,327574247
2026-03-06 12:32:09.154399,326878703
2026-03-06 12:32:09.255064,326215509
2026-03-06 12:32:09.356154,325577239
2026-03-06 12:32:09.457174,324977426
2026-03-06 12:32:09.558045,324409140
2026-03-06 12:32:09.65932,323874230
2026-03-06 12:32:09.760679,323371431
2026-03-06 12:32:09.861485,322895591
2026-03-06 12:32:09.962995,322458931
2026-03-06 12:32:10.064312,322057134
2026-03-06 12:32:10.164961,321692977
2026-03-06 12:32:10.265792,321361107
2026-03-06 12:32:10.366717,321070051
2026-03-06 12:32:10.46798,320801894
2026-03-06 12:32:10.569374,320577930
2026-03-06 12:32:10.669732,320394584
2026-03-06 12:32:10.771224,320237600
2026-03-06 12:32:10.871873,320123822
2026-03-06 12:32:10.972847,320045482
2026-03-06 12:32:11.073643,320010189
2026-03-06 12:32:11.174992,319999610
2026-03-06 12:32:11.276738,320036063
2026-03-06 12:32:11.377733,320098492
2026-03-06 12:32:11.478828,320209476
2026-03-06 12:32:11.580073,320351091
2026-03-06 12:32:11.680794,320526709
2026-03-06 12:32:11.781646,320738763
2026-03-06 12:32:11.882553,320995188
2026-03-06 12:32:11.983456,321276132
2026-03-06 12:32:12.084106,321601687
2026-03-06 12:32:12.184982,321955954
2026-03-06 12:32:12.286374,322349063
2026-03-06 12:32:12.386863,322774924
2026-03-06 12:32:12.487732,323231434
2026-03-06 12:32:12.588492,323729011
2026-03-06 12:32:12.689325,324252438
2026-03-06 12:32:12.791916,324824353
2026-03-06 12:32:12.892755,325414123
2026-03-06 12:32:12.993962,326038817
2026-03-06 12:32:13.094728,326697975
2026-03-06 12:32:13.195805,327384613
2026-03-06 12:32:13.296943,328100459
2026-03-06 12:32:13.398177,328848091
2026-03-06 12:32:13.499134,329629582
2026-03-06 12:32:13.601435,330429251
2026-03-06 12:32:13.702157,331261623
2026-03-06 12:32:13.803538,332115067
2026-03-06 12:32:13.904144,333001500
2026-03-06 12:32:14.005586,333904415
2026-03-06 12:32:14.106041,334837617
