time_utc,station,altim_pa,t_station_c,dewp_c,p_pad_pa,t_pad_k,rho_pad
2025-07-01 00:56,KNID,100982.1,36.7,3.9,93664.8,310.28,1.05163
2025-07-01 01:56,KNID,100948.3,36.1,3.9,93633.4,309.68,1.05331
2025-07-01 02:56,KNID,100982.1,33.9,-0.6,93664.8,307.48,1.06120
2025-07-01 03:56,KNID,100982.1,33.3,5.0,93664.8,306.88,1.06328
2025-07-01 04:56,KNID,101049.8,31.7,6.1,93727.6,305.28,1.06957
2025-07-01 05:56,KNID,101083.7,31.7,6.1,93759.0,305.28,1.06993
2025-07-01 06:56,KNID,101083.7,,,93759.0,,
2025-07-01 07:56,KNID,101083.7,,,93759.0,,
2025-07-01 08:56,KNID,101117.6,,,93790.4,,
2025-07-01 09:56,KNID,101083.7,,,93759.0,,
2025-07-01 10:56,KNID,101117.6,,,93790.4,,
2025-07-01 11:56,KNID,101151.4,23.9,1.7,93821.8,297.48,1.09872
2025-07-01 12:56,KNID,101185.3,21.1,1.7,93853.2,294.68,1.10953
2025-07-01 13:56,KNID,101253.0,24.4,1.7,93916.0,297.98,1.09797
2025-07-01 14:56,KNID,101320.8,28.3,5.0,93978.9,301.88,1.08451
2025-07-01 15:56,KNID,101286.9,30.0,4.4,93947.5,303.58,1.07808
2025-07-01 16:56,KNID,101286.9,30.0,3.9,93947.5,303.58,1.07808
2025-07-01 17:56,KNID,101286.9,33.9,2.8,93947.5,307.48,1.06441
2025-07-01 18:56,KNID,101219.2,35.0,1.7,93884.6,308.58,1.05990
2025-07-01 19:56,KNID,101185.3,36.1,-7.2,93853.2,309.68,1.05578
2025-07-01 20:56,KNID,101117.6,37.2,-4.4,93790.4,310.78,1.05134
2025-07-01 21:56,KNID,101049.8,37.8,-0.6,93727.6,311.38,1.04861
2025-07-01 22:56,KNID,100982.1,37.8,-2.2,93664.8,311.38,1.04791
2025-07-01 23:56,KNID,100914.4,37.2,-1.1,93601.9,310.78,1.04923
2025-07-02 00:56,KNID,100846.7,36.7,-2.8,93539.1,310.28,1.05022
2025-07-02 01:56,KNID,100846.7,35.6,-3.9,93539.1,309.18,1.05395
2025-07-02 02:56,KNID,100846.7,33.3,-5.6,93539.1,306.88,1.06185
2025-07-02 03:56,KNID,100846.7,33.3,-1.1,93539.1,306.88,1.06185
2025-07-02 04:56,KNID,100914.4,31.1,0.6,93601.9,304.68,1.07024
2025-07-02 05:56,KNID,100948.3,31.1,0.0,93633.4,304.68,1.07060
2025-07-02 06:56,KNID,100982.1,,,93664.8,,
2025-07-02 07:56,KNID,100982.1,,,93664.8,,
2025-07-02 08:56,KNID,100982.1,,,93664.8,,
2025-07-02 09:56,KNID,100948.3,,,93633.4,,
2025-07-02 10:56,KNID,101016.0,,,93696.2,,
2025-07-02 11:56,KNID,101016.0,22.2,0.6,93696.2,295.78,1.10355
2025-07-02 12:56,KNID,101049.8,21.1,-2.2,93727.6,294.68,1.10804
2025-07-02 13:56,KNID,101083.7,21.1,-2.2,93759.0,294.68,1.10841
2025-07-02 14:56,KNID,101151.4,23.3,-1.1,93821.8,296.88,1.10094
2025-07-02 15:56,KNID,101185.3,28.9,1.1,93853.2,302.48,1.08092
2025-07-02 16:56,KNID,101185.3,31.1,2.2,93853.2,304.68,1.07311
2025-07-02 17:56,KNID,101219.2,30.0,2.2,93884.6,303.58,1.07736
2025-07-02 18:56,KNID,101185.3,33.9,1.7,93853.2,307.48,1.06334
2025-07-02 19:56,KNID,101117.6,33.9,1.7,93790.4,307.48,1.06263
2025-07-02 20:56,KNID,101016.0,36.1,0.0,93696.2,309.68,1.05402
2025-07-02 21:56,KNID,100948.3,36.7,0.0,93633.4,310.28,1.05127
2025-07-02 22:56,KNID,100880.5,37.2,-2.2,93570.5,310.78,1.04888
2025-07-02 23:56,KNID,100812.8,36.7,-4.4,93507.7,310.28,1.04986
2025-07-03 00:56,KNID,100778.9,36.1,-5.0,93476.3,309.68,1.05154
2025-07-03 01:56,KNID,100778.9,36.7,-4.4,93476.3,310.28,1.04951
2025-07-03 02:56,KNID,100846.7,,,93539.1,,
2025-07-03 03:56,KNID,100948.3,,,93633.4,,
2025-07-03 04:56,KNID,101016.0,,,93696.2,,
2025-07-03 05:56,KNID,101083.7,,,93759.0,,
2025-07-03 06:56,KNID,101083.7,,,93759.0,,
2025-07-03 07:56,KNID,101117.6,,,93790.4,,
2025-07-03 08:56,KNID,101151.4,,,93821.8,,
2025-07-03 09:56,KNID,101185.3,,,93853.2,,
2025-07-03 10:56,KNID,101185.3,,,93853.2,,
2025-07-03 11:56,KNID,101219.2,,,93884.6,,
2025-07-03 12:56,KNID,101253.0,,,93916.0,,
2025-07-03 13:56,KNID,101354.6,,,94010.3,,
2025-07-03 14:56,KNID,101388.5,,,94041.7,,
2025-07-03 15:56,KNID,101422.4,,,94073.1,,
2025-07-03 16:56,KNID,101388.5,,,94041.7,,
2025-07-03 17:56,KNID,101354.6,,,94010.3,,
2025-07-03 18:56,KNID,101320.8,,,93978.9,,
2025-07-03 19:56,KNID,101253.0,,,93916.0,,
2025-07-03 20:56,KNID,101185.3,,,93853.2,,
2025-07-03 21:56,KNID,101117.6,,,93790.4,,
2025-07-03 22:56,KNID,101016.0,,,93696.2,,
2025-07-03 23:56,KNID,100948.3,,,93633.4,,
2025-07-04 00:56,KNID,100914.4,,,93601.9,,
2025-07-04 01:56,KNID,100914.4,,,93601.9,,
2025-07-04 02:56,KNID,100948.3,,,93633.4,,
2025-07-04 03:56,KNID,101049.8,,,93727.6,,
2025-07-04 04:56,KNID,101117.6,,,93790.4,,
2025-07-04 05:56,KNID,101151.4,,,93821.8,,
2025-07-04 06:56,KNID,101185.3,,,93853.2,,
2025-07-04 07:56,KNID,101185.3,,,93853.2,,
2025-07-04 08:56,KNID,101185.3,,,93853.2,,
2025-07-04 09:56,KNID,101219.2,,,93884.6,,
2025-07-04 10:56,KNID,101219.2,,,93884.6,,
2025-07-04 11:56,KNID,101286.9,,,93947.5,,
2025-07-04 12:56,KNID,101354.6,,,94010.3,,
2025-07-04 13:56,KNID,101422.4,,,94073.1,,
2025-07-04 14:56,KNID,101456.2,,,94104.5,,
2025-07-04 15:56,KNID,101490.1,,,94135.9,,
2025-07-04 16:56,KNID,101523.9,,,94167.3,,
2025-07-04 17:56,KNID,101523.9,,,94167.3,,
2025-07-04 18:56,KNID,101490.1,,,94135.9,,
2025-07-04 19:56,KNID,101456.2,,,94104.5,,
2025-07-04 20:56,KNID,101422.4,,,94073.1,,
2025-07-04 21:56,KNID,101422.4,,,94073.1,,
2025-07-04 22:56,KNID,101388.5,,,94041.7,,
2025-07-04 23:56,KNID,101388.5,,,94041.7,,
2025-07-05 00:56,KNID,101388.5,,,94041.7,,
2025-07-05 01:56,KNID,101388.5,,,94041.7,,
2025-07-05 02:56,KNID,101388.5,,,94041.7,,
2025-07-05 03:56,KNID,101456.2,,,94104.5,,
2025-07-05 04:56,KNID,101490.1,,,94135.9,,
2025-07-05 05:56,KNID,101490.1,,,94135.9,,
2025-07-05 06:56,KNID,101523.9,,,94167.3,,
2025-07-05 07:56,KNID,101523.9,,,94167.3,,
2025-07-05 08:56,KNID,101523.9,,,94167.3,,
2025-07-05 09:56,KNID,101557.8,,,94198.7,,
2025-07-05 10:56,KNID,101591.7,,,94230.1,,
2025-07-05 11:56,KNID,101625.5,,,94261.6,,
2025-07-05 12:56,KNID,101761.0,,,94387.2,,
2025-07-05 13:56,KNID,101828.7,,,94450.0,,
2025-07-05 14:56,KNID,101896.4,,,94512.8,,
2025-07-05 15:56,KNID,101930.3,,,94544.2,,
2025-07-05 16:56,KNID,101896.4,,,94512.8,,
2025-07-05 17:56,KNID,101896.4,,,94512.8,,
2025-07-05 18:56,KNID,101862.6,,,94481.4,,
2025-07-05 19:56,KNID,101794.9,,,94418.6,,
2025-07-05 20:56,KNID,101727.1,,,94355.8,,
2025-07-05 21:56,KNID,101625.5,,,94261.6,,
2025-07-05 22:56,KNID,101523.9,,,94167.3,,
2025-07-05 23:56,KNID,101456.2,,,94104.5,,
2025-07-06 00:56,KNID,101422.4,,,94073.1,,
2025-07-06 01:56,KNID,101422.4,,,94073.1,,
2025-07-06 02:56,KNID,101456.2,,,94104.5,,
2025-07-06 03:56,KNID,101490.1,,,94135.9,,
2025-07-06 04:56,KNID,101523.9,,,94167.3,,
2025-07-06 05:56,KNID,101523.9,,,94167.3,,
2025-07-06 06:56,KNID,101523.9,,,94167.3,,
2025-07-06 07:56,KNID,101523.9,,,94167.3,,
2025-07-06 08:56,KNID,101523.9,,,94167.3,,
2025-07-06 09:56,KNID,101523.9,,,94167.3,,
2025-07-06 10:56,KNID,101523.9,,,94167.3,,
2025-07-06 11:56,KNID,101523.9,,,94167.3,,
2025-07-06 12:56,KNID,101557.8,,,94198.7,,
2025-07-06 13:56,KNID,101625.5,,,94261.6,,
2025-07-06 14:56,KNID,101659.4,,,94293.0,,
2025-07-06 15:56,KNID,101693.3,,,94324.4,,
2025-07-06 16:56,KNID,101659.4,,,94293.0,,
2025-07-06 17:56,KNID,101625.5,,,94261.6,,
2025-07-06 18:56,KNID,101591.7,,,94230.1,,
2025-07-06 19:56,KNID,101523.9,,,94167.3,,
2025-07-06 20:56,KNID,101422.4,,,94073.1,,
2025-07-06 21:56,KNID,101354.6,,,94010.3,,
2025-07-06 22:56,KNID,101253.0,,,93916.0,,
2025-07-06 23:56,KNID,101219.2,,,93884.6,,
2025-07-07 00:56,KNID,101151.4,,,93821.8,,
2025-07-07 01:56,KNID,101151.4,,,93821.8,,
2025-07-07 02:56,KNID,101185.3,,,93853.2,,
2025-07-07 03:56,KNID,101219.2,,,93884.6,,
2025-07-07 04:56,KNID,101253.0,,,93916.0,,
2025-07-07 05:56,KNID,101286.9,,,93947.5,,
2025-07-07 06:56,KNID,101286.9,,,93947.5,,
2025-07-07 07:56,KNID,101286.9,,,93947.5,,
2025-07-07 08:56,KNID,101286.9,,,93947.5,,
2025-07-07 09:56,KNID,101286.9,,,93947.5,,
2025-07-07 10:56,KNID,101286.9,,,93947.5,,
2025-07-07 11:56,KNID,101320.8,21.1,-0.6,93978.9,294.68,1.11101
2025-07-07 12:56,KNID,101388.5,20.6,-0.6,94041.7,294.18,1.11364
2025-07-07 13:56,KNID,101456.2,21.7,-0.6,94104.5,295.28,1.11024
2025-07-07 14:56,KNID,101523.9,24.4,-2.2,94167.3,297.98,1.10091
2025-07-07 15:56,KNID,101557.8,24.4,-2.2,94198.7,297.98,1.10128
2025-07-07 16:56,KNID,101557.8,34.4,-0.6,94198.7,307.98,1.06552
2025-07-07 17:56,KNID,101557.8,33.9,-3.3,94198.7,307.48,1.06725
2025-07-07 18:56,KNID,101523.9,33.9,-5.0,94167.3,307.48,1.06690
2025-07-07 19:56,KNID,101490.1,36.7,-15.6,94135.9,310.28,1.05692
2025-07-07 20:56,KNID,101456.2,36.7,-15.6,94104.5,310.28,1.05656
2025-07-07 21:56,KNID,101422.4,37.8,-14.4,94073.1,311.38,1.05248
2025-07-07 22:56,KNID,101354.6,38.3,-8.3,94010.3,311.88,1.05009
2025-07-07 23:56,KNID,101354.6,38.3,-2.2,94010.3,311.88,1.05009
2025-07-08 00:56,KNID,101320.8,37.2,-4.4,93978.9,310.78,1.05346
