time,PT_Cal.GSE_Low.channel_id
2026-03-06 21:14:19.092593,2
2026-03-06 21:14:19.092802,2
2026-03-06 21:14:19.092806,2
2026-03-06 21:14:19.092835,2
2026-03-06 21:14:19.202902,2
2026-03-06 21:14:19.20298,2
2026-03-06 21:14:19.312026,2
2026-03-06 21:14:19.312129,2
2026-03-06 21:14:19.312177,2
2026-03-06 21:14:19.312186,2
2026-03-06 21:14:19.420731,2
2026-03-06 21:14:19.420921,2
2026-03-06 21:14:19.42125,2
2026-03-06 21:14:19.529559,2
2026-03-06 21:14:19.529636,2
2026-03-06 21:14:19.529723,2
2026-03-06 21:14:19.529817,2
2026-03-06 21:14:19.529888,2
2026-03-06 21:14:19.639327,2
2026-03-06 21:14:19.639741,2
2026-03-06 21:14:19.640267,2
2026-03-06 21:14:19.640624,2
2026-03-06 21:14:19.640986,2
2026-03-06 21:14:19.747916,2
2026-03-06 21:14:19.748198,2
2026-03-06 21:14:19.748483,2
2026-03-06 21:14:19.74855,2
2026-03-06 21:14:19.748764,2
2026-03-06 21:14:19.857284,2
2026-03-06 21:14:19.857528,2
2026-03-06 21:14:19.857776,2
2026-03-06 21:14:19.857813,2
2026-03-06 21:14:19.858067,2
2026-03-06 21:14:19.965913,2
2026-03-06 21:14:19.966314,2
2026-03-06 21:14:19.966636,2
2026-03-06 21:14:19.96668,2
2026-03-06 21:14:19.966994,2
2026-03-06 21:14:19.967513,2
2026-03-06 21:14:20.074822,2
2026-03-06 21:14:20.074879,2
2026-03-06 21:14:20.074926,2
2026-03-06 21:14:20.075008,2
2026-03-06 21:14:20.075082,2
2026-03-06 21:14:20.075168,2
2026-03-06 21:14:20.075248,2
2026-03-06 21:14:20.075327,2
2026-03-06 21:14:20.075409,2
2026-03-06 21:14:20.075494,2
2026-03-06 21:14:20.183535,2
2026-03-06 21:14:20.183642,2
2026-03-06 21:14:20.183712,2
2026-03-06 21:14:20.18379,2
2026-03-06 21:14:20.183814,2
2026-03-06 21:14:20.183867,2
2026-03-06 21:14:20.18396,2
2026-03-06 21:14:20.292612,2
2026-03-06 21:14:20.292716,2
2026-03-06 21:14:20.292797,2
2026-03-06 21:14:20.292883,2
2026-03-06 21:14:20.292962,2
2026-03-06 21:14:20.293212,2
2026-03-06 21:14:20.401272,2
2026-03-06 21:14:20.401374,2
