time,ACT.Fuel_Fill_Vent.channel_id
2026-03-06 21:14:18.309306,1
2026-03-06 21:14:18.309373,1
2026-03-06 21:14:18.309684,1
2026-03-06 21:14:18.309687,1
2026-03-06 21:14:18.310517,1
2026-03-06 21:14:18.31052,1
2026-03-06 21:14:18.310582,1
2026-03-06 21:14:18.310584,1
2026-03-06 21:14:18.31063,1
2026-03-06 21:14:18.310633,1
2026-03-06 21:14:18.311393,1
2026-03-06 21:14:18.311396,1
2026-03-06 21:14:18.312071,1
2026-03-06 21:14:18.312074,1
2026-03-06 21:14:18.312135,1
2026-03-06 21:14:18.312137,1
2026-03-06 21:14:18.312191,1
2026-03-06 21:14:18.312193,1
2026-03-06 21:14:18.312238,1
2026-03-06 21:14:18.31224,1
2026-03-06 21:14:18.312285,1
2026-03-06 21:14:18.312287,1
2026-03-06 21:14:18.312942,1
2026-03-06 21:14:18.312946,1
2026-03-06 21:14:18.313008,1
2026-03-06 21:14:18.31301,1
2026-03-06 21:14:18.313057,1
2026-03-06 21:14:18.31306,1
2026-03-06 21:14:18.313106,1
2026-03-06 21:14:18.313108,1
2026-03-06 21:14:18.313801,1
2026-03-06 21:14:18.313805,1
2026-03-06 21:14:18.31387,1
2026-03-06 21:14:18.313872,1
2026-03-06 21:14:18.314506,1
2026-03-06 21:14:18.314509,1
2026-03-06 21:14:18.314571,1
2026-03-06 21:14:18.314573,1
2026-03-06 21:14:18.316428,1
2026-03-06 21:14:18.316431,1
2026-03-06 21:14:18.316624,1
2026-03-06 21:14:18.316625,1
2026-03-06 21:14:18.316809,1
2026-03-06 21:14:18.31681,1
2026-03-06 21:14:18.316956,1
2026-03-06 21:14:18.316957,1
2026-03-06 21:14:18.317172,1
2026-03-06 21:14:18.317173,1
2026-03-06 21:14:18.317229,1
2026-03-06 21:14:18.31723,1
2026-03-06 21:14:18.318419,1
2026-03-06 21:14:18.318422,1
2026-03-06 21:14:18.319229,1
2026-03-06 21:14:18.319241,1
2026-03-06 21:14:18.319453,1
2026-03-06 21:14:18.319454,1
2026-03-06 21:14:18.319635,1
2026-03-06 21:14:18.319637,1
2026-03-06 21:14:18.319731,1
2026-03-06 21:14:18.319732,1
2026-03-06 21:14:18.360134,1
2026-03-06 21:14:18.360146,1
2026-03-06 21:14:18.415455,1
2026-03-06 21:14:18.41547,1
2026-03-06 21:14:18.462167,1
2026-03-06 21:14:18.462179,1
2026-03-06 21:14:18.517387,1
2026-03-06 21:14:18.5174,1
2026-03-06 21:14:18.564482,1
2026-03-06 21:14:18.564506,1
2026-03-06 21:14:18.619149,1
2026-03-06 21:14:18.619161,1
2026-03-06 21:14:18.665925,1
2026-03-06 21:14:18.665933,1
2026-03-06 21:14:18.721196,1
2026-03-06 21:14:18.721207,1
2026-03-06 21:14:18.768282,1
2026-03-06 21:14:18.768287,1
2026-03-06 21:14:18.823512,1
2026-03-06 21:14:18.823524,1
2026-03-06 21:14:18.870266,1
2026-03-06 21:14:18.87029,1
2026-03-06 21:14:18.92534,1
2026-03-06 21:14:18.925354,1
2026-03-06 21:14:18.972144,1
2026-03-06 21:14:18.97217,1
2026-03-06 21:14:19.027593,1
2026-03-06 21:14:19.027617,1
2026-03-06 21:14:19.074111,1
2026-03-06 21:14:19.074131,1
2026-03-06 21:14:19.129141,1
2026-03-06 21:14:19.129153,1
2026-03-06 21:14:19.176407,1
2026-03-06 21:14:19.176431,1
2026-03-06 21:14:19.231363,1
