time,ACT.GSE_LOX_Fill_Vent.channel_id
2026-03-06 21:14:18.30938,2
2026-03-06 21:14:18.309402,2
2026-03-06 21:14:18.309688,2
2026-03-06 21:14:18.309691,2
2026-03-06 21:14:18.310522,2
2026-03-06 21:14:18.310524,2
2026-03-06 21:14:18.310585,2
2026-03-06 21:14:18.310587,2
2026-03-06 21:14:18.310634,2
2026-03-06 21:14:18.310636,2
2026-03-06 21:14:18.311398,2
2026-03-06 21:14:18.3114,2
2026-03-06 21:14:18.312076,2
2026-03-06 21:14:18.312078,2
2026-03-06 21:14:18.312138,2
2026-03-06 21:14:18.31214,2
2026-03-06 21:14:18.312195,2
2026-03-06 21:14:18.312197,2
2026-03-06 21:14:18.312241,2
2026-03-06 21:14:18.312243,2
2026-03-06 21:14:18.312289,2
2026-03-06 21:14:18.312291,2
2026-03-06 21:14:18.312947,2
2026-03-06 21:14:18.312949,2
2026-03-06 21:14:18.313011,2
2026-03-06 21:14:18.313013,2
2026-03-06 21:14:18.313061,2
2026-03-06 21:14:18.313063,2
2026-03-06 21:14:18.313109,2
2026-03-06 21:14:18.313111,2
2026-03-06 21:14:18.313806,2
2026-03-06 21:14:18.313808,2
2026-03-06 21:14:18.313873,2
2026-03-06 21:14:18.313875,2
2026-03-06 21:14:18.31451,2
2026-03-06 21:14:18.314513,2
2026-03-06 21:14:18.314575,2
2026-03-06 21:14:18.314577,2
2026-03-06 21:14:18.316432,2
2026-03-06 21:14:18.316434,2
2026-03-06 21:14:18.316626,2
2026-03-06 21:14:18.316627,2
2026-03-06 21:14:18.316811,2
2026-03-06 21:14:18.316812,2
2026-03-06 21:14:18.316958,2
2026-03-06 21:14:18.316959,2
2026-03-06 21:14:18.317174,2
2026-03-06 21:14:18.317175,2
2026-03-06 21:14:18.317231,2
2026-03-06 21:14:18.317232,2
2026-03-06 21:14:18.318423,2
2026-03-06 21:14:18.318425,2
2026-03-06 21:14:18.319243,2
2026-03-06 21:14:18.319245,2
2026-03-06 21:14:18.319455,2
2026-03-06 21:14:18.319456,2
2026-03-06 21:14:18.319637,2
2026-03-06 21:14:18.319638,2
2026-03-06 21:14:18.319733,2
2026-03-06 21:14:18.319734,2
2026-03-06 21:14:18.360148,2
2026-03-06 21:14:18.360154,2
2026-03-06 21:14:18.415472,2
2026-03-06 21:14:18.415478,2
2026-03-06 21:14:18.462181,2
2026-03-06 21:14:18.462186,2
2026-03-06 21:14:18.517402,2
