time,PT.Fuel_Fill_Press.channel_id
2026-03-06 21:14:18.315499,4
2026-03-06 21:14:18.315606,4
2026-03-06 21:14:18.31562,4
2026-03-06 21:14:18.315635,4
2026-03-06 21:14:18.315649,4
2026-03-06 21:14:18.315663,4
2026-03-06 21:14:18.315677,4
2026-03-06 21:14:18.315691,4
2026-03-06 21:14:18.315705,4
2026-03-06 21:14:18.316666,4
2026-03-06 21:14:18.316677,4
2026-03-06 21:14:18.316685,4
2026-03-06 21:14:18.316693,4
2026-03-06 21:14:18.316701,4
2026-03-06 21:14:18.316709,4
2026-03-06 21:14:18.316717,4
2026-03-06 21:14:18.316725,4
2026-03-06 21:14:18.316732,4
2026-03-06 21:14:18.3171,4
2026-03-06 21:14:18.317108,4
2026-03-06 21:14:18.317116,4
2026-03-06 21:14:18.317124,4
2026-03-06 21:14:18.317132,4
2026-03-06 21:14:18.31714,4
2026-03-06 21:14:18.317148,4
2026-03-06 21:14:18.317156,4
2026-03-06 21:14:18.317167,4
2026-03-06 21:14:18.318474,4
2026-03-06 21:14:18.31849,4
2026-03-06 21:14:18.318498,4
2026-03-06 21:14:18.318506,4
2026-03-06 21:14:18.318514,4
2026-03-06 21:14:18.318522,4
2026-03-06 21:14:18.31853,4
2026-03-06 21:14:18.318537,4
2026-03-06 21:14:18.318545,4
2026-03-06 21:14:18.319518,4
2026-03-06 21:14:18.319528,4
2026-03-06 21:14:18.319536,4
2026-03-06 21:14:18.319544,4
2026-03-06 21:14:18.319552,4
2026-03-06 21:14:18.31956,4
2026-03-06 21:14:18.319567,4
2026-03-06 21:14:18.319575,4
2026-03-06 21:14:18.319583,4
2026-03-06 21:14:18.32942,4
2026-03-06 21:14:18.329439,4
2026-03-06 21:14:18.329447,4
2026-03-06 21:14:18.329455,4
2026-03-06 21:14:18.329463,4
2026-03-06 21:14:18.329471,4
2026-03-06 21:14:18.329478,4
2026-03-06 21:14:18.329486,4
2026-03-06 21:14:18.329494,4
2026-03-06 21:14:18.438172,4
2026-03-06 21:14:18.438202,4
2026-03-06 21:14:18.43821,4
2026-03-06 21:14:18.438217,4
2026-03-06 21:14:18.438225,4
2026-03-06 21:14:18.438233,4
2026-03-06 21:14:18.438241,4
2026-03-06 21:14:18.438249,4
2026-03-06 21:14:18.438256,4
2026-03-06 21:14:18.547381,4
2026-03-06 21:14:18.5474,4
2026-03-06 21:14:18.547408,4
2026-03-06 21:14:18.547416,4
2026-03-06 21:14:18.547424,4
2026-03-06 21:14:18.547432,4
2026-03-06 21:14:18.547439,4
2026-03-06 21:14:18.547447,4
2026-03-06 21:14:18.547455,4
2026-03-06 21:14:18.656335,4
2026-03-06 21:14:18.656361,4
2026-03-06 21:14:18.656369,4
2026-03-06 21:14:18.656377,4
2026-03-06 21:14:18.656385,4
2026-03-06 21:14:18.656392,4
2026-03-06 21:14:18.6564,4
2026-03-06 21:14:18.656408,4
2026-03-06 21:14:18.656416,4
2026-03-06 21:14:18.76547,4
2026-03-06 21:14:18.765496,4
2026-03-06 21:14:18.765504,4
2026-03-06 21:14:18.765512,4
2026-03-06 21:14:18.76552,4
2026-03-06 21:14:18.765528,4
2026-03-06 21:14:18.765536,4
2026-03-06 21:14:18.765544,4
2026-03-06 21:14:18.765552,4
2026-03-06 21:14:18.8746,4
2026-03-06 21:14:18.874625,4
2026-03-06 21:14:18.874634,4
2026-03-06 21:14:18.874645,4
2026-03-06 21:14:18.874655,4
2026-03-06 21:14:18.874663,4
2026-03-06 21:14:18.874671,4
2026-03-06 21:14:18.874679,4
2026-03-06 21:14:18.874686,4
2026-03-06 21:14:18.983015,4
2026-03-06 21:14:18.983058,4
2026-03-06 21:14:18.983066,4
2026-03-06 21:14:18.983074,4
2026-03-06 21:14:18.983082,4
2026-03-06 21:14:18.98309,4
2026-03-06 21:14:18.983098,4
2026-03-06 21:14:18.983106,4
2026-03-06 21:14:18.983113,4
2026-03-06 21:14:19.092256,4
2026-03-06 21:14:19.092303,4
2026-03-06 21:14:19.092324,4
2026-03-06 21:14:19.092337,4
2026-03-06 21:14:19.092346,4
