time,PT.GSE_Low.channel_id
2026-03-06 21:14:18.315449,2
2026-03-06 21:14:18.315601,2
2026-03-06 21:14:18.315616,2
2026-03-06 21:14:18.31563,2
2026-03-06 21:14:18.315645,2
2026-03-06 21:14:18.315659,2
2026-03-06 21:14:18.315673,2
2026-03-06 21:14:18.315687,2
2026-03-06 21:14:18.315701,2
2026-03-06 21:14:18.316661,2
2026-03-06 21:14:18.316675,2
2026-03-06 21:14:18.316683,2
2026-03-06 21:14:18.316691,2
2026-03-06 21:14:18.316699,2
2026-03-06 21:14:18.316707,2
2026-03-06 21:14:18.316715,2
2026-03-06 21:14:18.316722,2
2026-03-06 21:14:18.31673,2
2026-03-06 21:14:18.317097,2
2026-03-06 21:14:18.317106,2
2026-03-06 21:14:18.317114,2
2026-03-06 21:14:18.317122,2
2026-03-06 21:14:18.31713,2
2026-03-06 21:14:18.317138,2
2026-03-06 21:14:18.317146,2
2026-03-06 21:14:18.317153,2
2026-03-06 21:14:18.317165,2
2026-03-06 21:14:18.318468,2
2026-03-06 21:14:18.318488,2
2026-03-06 21:14:18.318496,2
2026-03-06 21:14:18.318504,2
2026-03-06 21:14:18.318512,2
2026-03-06 21:14:18.31852,2
2026-03-06 21:14:18.318527,2
2026-03-06 21:14:18.318535,2
2026-03-06 21:14:18.318543,2
2026-03-06 21:14:18.319515,2
2026-03-06 21:14:18.319526,2
2026-03-06 21:14:18.319534,2
2026-03-06 21:14:18.319542,2
2026-03-06 21:14:18.319549,2
2026-03-06 21:14:18.319557,2
2026-03-06 21:14:18.319565,2
2026-03-06 21:14:18.319573,2
2026-03-06 21:14:18.319581,2
2026-03-06 21:14:18.329412,2
2026-03-06 21:14:18.329436,2
2026-03-06 21:14:18.329445,2
2026-03-06 21:14:18.329453,2
2026-03-06 21:14:18.329461,2
2026-03-06 21:14:18.329468,2
2026-03-06 21:14:18.329476,2
2026-03-06 21:14:18.329484,2
2026-03-06 21:14:18.329491,2
2026-03-06 21:14:18.438156,2
2026-03-06 21:14:18.438199,2
2026-03-06 21:14:18.438207,2
