time,PT_Cal.Fuel_Fill_Press.channel_id
2026-03-06 21:14:19.092668,4
2026-03-06 21:14:19.09281,4
2026-03-06 21:14:19.092851,4
2026-03-06 21:14:19.093123,4
2026-03-06 21:14:19.202927,4
2026-03-06 21:14:19.203204,4
2026-03-06 21:14:19.312064,4
2026-03-06 21:14:19.312143,4
2026-03-06 21:14:19.312196,4
2026-03-06 21:14:19.312206,4
2026-03-06 21:14:19.420893,4
2026-03-06 21:14:19.421087,4
2026-03-06 21:14:19.421378,4
2026-03-06 21:14:19.529585,4
2026-03-06 21:14:19.529666,4
2026-03-06 21:14:19.529743,4
2026-03-06 21:14:19.52984,4
2026-03-06 21:14:19.529951,4
2026-03-06 21:14:19.639485,4
2026-03-06 21:14:19.6399,4
2026-03-06 21:14:19.640328,4
2026-03-06 21:14:19.641097,4
2026-03-06 21:14:19.64265,4
2026-03-06 21:14:19.748,4
2026-03-06 21:14:19.748264,4
2026-03-06 21:14:19.748555,4
2026-03-06 21:14:19.748667,4
2026-03-06 21:14:19.748884,4
2026-03-06 21:14:19.857352,4
2026-03-06 21:14:19.857593,4
2026-03-06 21:14:19.857851,4
2026-03-06 21:14:19.857998,4
2026-03-06 21:14:19.858169,4
2026-03-06 21:14:19.966001,4
2026-03-06 21:14:19.966413,4
2026-03-06 21:14:19.966721,4
2026-03-06 21:14:19.967085,4
2026-03-06 21:14:19.967352,4
2026-03-06 21:14:19.967593,4
2026-03-06 21:14:20.074838,4
2026-03-06 21:14:20.074883,4
2026-03-06 21:14:20.074949,4
2026-03-06 21:14:20.075028,4
2026-03-06 21:14:20.075104,4
2026-03-06 21:14:20.075194,4
2026-03-06 21:14:20.075268,4
2026-03-06 21:14:20.075349,4
2026-03-06 21:14:20.075652,4
2026-03-06 21:14:20.18359,4
2026-03-06 21:14:20.183651,4
2026-03-06 21:14:20.183738,4
2026-03-06 21:14:20.183816,4
2026-03-06 21:14:20.183876,4
2026-03-06 21:14:20.183894,4
2026-03-06 21:14:20.292651,4
2026-03-06 21:14:20.292738,4
2026-03-06 21:14:20.292824,4
2026-03-06 21:14:20.292906,4
2026-03-06 21:14:20.292989,4
2026-03-06 21:14:20.29328,4
2026-03-06 21:14:20.401307,4
2026-03-06 21:14:20.401392,4
2026-03-06 21:14:20.401587,4
2026-03-06 21:14:20.40194,4
2026-03-06 21:14:20.51067,4
2026-03-06 21:14:20.510741,4
2026-03-06 21:14:20.51085,4
2026-03-06 21:14:20.510952,4
2026-03-06 21:14:20.511032,4
2026-03-06 21:14:20.511057,4
2026-03-06 21:14:20.619481,4
2026-03-06 21:14:20.619537,4
2026-03-06 21:14:20.619588,4
2026-03-06 21:14:20.619691,4
2026-03-06 21:14:20.6199,4
2026-03-06 21:14:20.619953,4
2026-03-06 21:14:20.619993,4
2026-03-06 21:14:20.728559,4
2026-03-06 21:14:20.728653,4
2026-03-06 21:14:20.72874,4
2026-03-06 21:14:20.728833,4
2026-03-06 21:14:20.729749,4
2026-03-06 21:14:20.837778,4
2026-03-06 21:14:20.83784,4
2026-03-06 21:14:20.837881,4
2026-03-06 21:14:20.837926,4
2026-03-06 21:14:20.837985,4
2026-03-06 21:14:20.838063,4
2026-03-06 21:14:20.838074,4
2026-03-06 21:14:20.838162,4
2026-03-06 21:14:20.83825,4
2026-03-06 21:14:20.83834,4
2026-03-06 21:14:20.946809,4
2026-03-06 21:14:20.946967,4
2026-03-06 21:14:20.947053,4
2026-03-06 21:14:20.947149,4
2026-03-06 21:14:20.947244,4
2026-03-06 21:14:20.947287,4
2026-03-06 21:14:20.94742,4
2026-03-06 21:14:21.055731,4
2026-03-06 21:14:21.055831,4
2026-03-06 21:14:21.055882,4
2026-03-06 21:14:21.056006,4
2026-03-06 21:14:21.056165,4
2026-03-06 21:14:21.056202,4
2026-03-06 21:14:21.056404,4
2026-03-06 21:14:21.16527,4
2026-03-06 21:14:21.165542,4
