time,ACT.Fuel_Fill_Press.channel_id
2026-03-06 21:14:18.309651,10
2026-03-06 21:14:18.309678,10
2026-03-06 21:14:18.309737,10
2026-03-06 21:14:18.309739,10
2026-03-06 21:14:18.310577,10
2026-03-06 21:14:18.31058,10
2026-03-06 21:14:18.310623,10
2026-03-06 21:14:18.310626,10
2026-03-06 21:14:18.310674,10
2026-03-06 21:14:18.310676,10
2026-03-06 21:14:18.311452,10
2026-03-06 21:14:18.311455,10
2026-03-06 21:14:18.312131,10
2026-03-06 21:14:18.312134,10
2026-03-06 21:14:18.312184,10
2026-03-06 21:14:18.312186,10
2026-03-06 21:14:18.312234,10
2026-03-06 21:14:18.312236,10
2026-03-06 21:14:18.312282,10
2026-03-06 21:14:18.312284,10
2026-03-06 21:14:18.312327,10
2026-03-06 21:14:18.31233,10
2026-03-06 21:14:18.313004,10
2026-03-06 21:14:18.313007,10
2026-03-06 21:14:18.313051,10
2026-03-06 21:14:18.313053,10
2026-03-06 21:14:18.313102,10
2026-03-06 21:14:18.313104,10
2026-03-06 21:14:18.313147,10
2026-03-06 21:14:18.31315,10
2026-03-06 21:14:18.313862,10
2026-03-06 21:14:18.313865,10
2026-03-06 21:14:18.313913,10
2026-03-06 21:14:18.313916,10
2026-03-06 21:14:18.314568,10
2026-03-06 21:14:18.31457,10
2026-03-06 21:14:18.314614,10
2026-03-06 21:14:18.314616,10
2026-03-06 21:14:18.316472,10
2026-03-06 21:14:18.316474,10
2026-03-06 21:14:18.316657,10
2026-03-06 21:14:18.316658,10
2026-03-06 21:14:18.316832,10
2026-03-06 21:14:18.316833,10
2026-03-06 21:14:18.316983,10
2026-03-06 21:14:18.316984,10
2026-03-06 21:14:18.317196,10
2026-03-06 21:14:18.317197,10
2026-03-06 21:14:18.31725,10
2026-03-06 21:14:18.317252,10
2026-03-06 21:14:18.318461,10
2026-03-06 21:14:18.318464,10
2026-03-06 21:14:18.31929,10
2026-03-06 21:14:18.319293,10
2026-03-06 21:14:18.319476,10
2026-03-06 21:14:18.319478,10
2026-03-06 21:14:18.319661,10
2026-03-06 21:14:18.319662,10
2026-03-06 21:14:18.319754,10
2026-03-06 21:14:18.319755,10
2026-03-06 21:14:18.360253,10
2026-03-06 21:14:18.360258,10
2026-03-06 21:14:18.415568,10
2026-03-06 21:14:18.415573,10
2026-03-06 21:14:18.462281,10
2026-03-06 21:14:18.462288,10
2026-03-06 21:14:18.517488,10
2026-03-06 21:14:18.517493,10
2026-03-06 21:14:18.564603,10
2026-03-06 21:14:18.564607,10
2026-03-06 21:14:18.61924,10
2026-03-06 21:14:18.619244,10
2026-03-06 21:14:18.666019,10
2026-03-06 21:14:18.666024,10
2026-03-06 21:14:18.721299,10
2026-03-06 21:14:18.721303,10
2026-03-06 21:14:18.768371,10
2026-03-06 21:14:18.768376,10
2026-03-06 21:14:18.823632,10
2026-03-06 21:14:18.823637,10
2026-03-06 21:14:18.870444,10
2026-03-06 21:14:18.870451,10
2026-03-06 21:14:18.925478,10
2026-03-06 21:14:18.925483,10
2026-03-06 21:14:18.97226,10
2026-03-06 21:14:18.972264,10
2026-03-06 21:14:19.027694,10
2026-03-06 21:14:19.0277,10
2026-03-06 21:14:19.074254,10
