time,RTD.CH4.status
2026-03-06 21:14:18.315803,0
2026-03-06 21:14:18.315834,0
2026-03-06 21:14:18.315843,0
2026-03-06 21:14:18.315852,0
2026-03-06 21:14:18.31586,0
2026-03-06 21:14:18.315869,0
2026-03-06 21:14:18.315878,0
2026-03-06 21:14:18.315886,0
2026-03-06 21:14:18.315895,0
2026-03-06 21:14:18.316873,0
2026-03-06 21:14:18.316879,0
2026-03-06 21:14:18.316883,0
2026-03-06 21:14:18.316888,0
2026-03-06 21:14:18.316893,0
2026-03-06 21:14:18.316897,0
2026-03-06 21:14:18.316902,0
2026-03-06 21:14:18.316906,0
2026-03-06 21:14:18.31691,0
2026-03-06 21:14:18.317438,0
2026-03-06 21:14:18.317443,0
2026-03-06 21:14:18.317448,0
2026-03-06 21:14:18.317452,0
2026-03-06 21:14:18.317457,0
2026-03-06 21:14:18.317461,0
2026-03-06 21:14:18.317465,0
2026-03-06 21:14:18.31747,0
2026-03-06 21:14:18.317474,0
2026-03-06 21:14:18.319369,0
2026-03-06 21:14:18.319375,0
2026-03-06 21:14:18.31938,0
2026-03-06 21:14:18.319384,0
2026-03-06 21:14:18.319389,0
2026-03-06 21:14:18.319393,0
2026-03-06 21:14:18.319398,0
2026-03-06 21:14:18.319402,0
2026-03-06 21:14:18.319407,0
2026-03-06 21:14:18.332794,0
2026-03-06 21:14:18.332804,0
2026-03-06 21:14:18.332808,0
2026-03-06 21:14:18.332813,0
2026-03-06 21:14:18.332817,0
2026-03-06 21:14:18.332822,0
2026-03-06 21:14:18.332826,0
2026-03-06 21:14:18.332831,0
2026-03-06 21:14:18.332835,0
2026-03-06 21:14:18.467988,0
2026-03-06 21:14:18.467995,0
2026-03-06 21:14:18.468,0
2026-03-06 21:14:18.468004,0
2026-03-06 21:14:18.468009,0
2026-03-06 21:14:18.468013,0
2026-03-06 21:14:18.468018,0
2026-03-06 21:14:18.468022,0
2026-03-06 21:14:18.468027,0
2026-03-06 21:14:18.603043,0
2026-03-06 21:14:18.603053,0
2026-03-06 21:14:18.603059,0
2026-03-06 21:14:18.603065,0
2026-03-06 21:14:18.603071,0
2026-03-06 21:14:18.603077,0
2026-03-06 21:14:18.603084,0
2026-03-06 21:14:18.60309,0
2026-03-06 21:14:18.603096,0
2026-03-06 21:14:18.737767,0
2026-03-06 21:14:18.737789,0
2026-03-06 21:14:18.737793,0
2026-03-06 21:14:18.737798,0
2026-03-06 21:14:18.737802,0
2026-03-06 21:14:18.737807,0
2026-03-06 21:14:18.737811,0
2026-03-06 21:14:18.737816,0
2026-03-06 21:14:18.73782,0
2026-03-06 21:14:18.87273,0
2026-03-06 21:14:18.872738,0
2026-03-06 21:14:18.872743,0
2026-03-06 21:14:18.872749,0
2026-03-06 21:14:18.872755,0
2026-03-06 21:14:18.872761,0
2026-03-06 21:14:18.872767,0
2026-03-06 21:14:18.872773,0
2026-03-06 21:14:18.872779,0
2026-03-06 21:14:19.012091,0
2026-03-06 21:14:19.012098,0
2026-03-06 21:14:19.012103,0
2026-03-06 21:14:19.012107,0
2026-03-06 21:14:19.012112,0
2026-03-06 21:14:19.012116,0
2026-03-06 21:14:19.012121,0
2026-03-06 21:14:19.012126,0
2026-03-06 21:14:19.01213,0
2026-03-06 21:14:19.146881,0
2026-03-06 21:14:19.146909,0
2026-03-06 21:14:19.146917,0
2026-03-06 21:14:19.146948,0
2026-03-06 21:14:19.146961,0
2026-03-06 21:14:19.146974,0
2026-03-06 21:14:19.146981,0
2026-03-06 21:14:19.146993,0
2026-03-06 21:14:19.147005,0
2026-03-06 21:14:19.282118,0
2026-03-06 21:14:19.282129,0
2026-03-06 21:14:19.282134,0
2026-03-06 21:14:19.282138,0
2026-03-06 21:14:19.282143,0
