time,ACT.LOX_Fill.channel_id
2026-03-06 21:14:18.30954,7
2026-03-06 21:14:18.309565,7
2026-03-06 21:14:18.309706,7
2026-03-06 21:14:18.309708,7
2026-03-06 21:14:18.31054,7
2026-03-06 21:14:18.310542,7
2026-03-06 21:14:18.310602,7
2026-03-06 21:14:18.310604,7
2026-03-06 21:14:18.31065,7
2026-03-06 21:14:18.310652,7
2026-03-06 21:14:18.311415,7
2026-03-06 21:14:18.311417,7
2026-03-06 21:14:18.312092,7
2026-03-06 21:14:18.312094,7
2026-03-06 21:14:18.312155,7
2026-03-06 21:14:18.312157,7
2026-03-06 21:14:18.312211,7
2026-03-06 21:14:18.312213,7
2026-03-06 21:14:18.312258,7
2026-03-06 21:14:18.31226,7
2026-03-06 21:14:18.312305,7
2026-03-06 21:14:18.312307,7
2026-03-06 21:14:18.312964,7
2026-03-06 21:14:18.312966,7
2026-03-06 21:14:18.313028,7
2026-03-06 21:14:18.31303,7
2026-03-06 21:14:18.313078,7
2026-03-06 21:14:18.31308,7
2026-03-06 21:14:18.313125,7
2026-03-06 21:14:18.313127,7
2026-03-06 21:14:18.313823,7
2026-03-06 21:14:18.313825,7
2026-03-06 21:14:18.31389,7
2026-03-06 21:14:18.313892,7
2026-03-06 21:14:18.314527,7
2026-03-06 21:14:18.314529,7
2026-03-06 21:14:18.314591,7
2026-03-06 21:14:18.314593,7
2026-03-06 21:14:18.316447,7
2026-03-06 21:14:18.316449,7
2026-03-06 21:14:18.316636,7
2026-03-06 21:14:18.316637,7
2026-03-06 21:14:18.316821,7
2026-03-06 21:14:18.316822,7
2026-03-06 21:14:18.316968,7
2026-03-06 21:14:18.316969,7
2026-03-06 21:14:18.317183,7
2026-03-06 21:14:18.317184,7
2026-03-06 21:14:18.31724,7
2026-03-06 21:14:18.317241,7
2026-03-06 21:14:18.318441,7
2026-03-06 21:14:18.318444,7
2026-03-06 21:14:18.319257,7
2026-03-06 21:14:18.319259,7
2026-03-06 21:14:18.319465,7
2026-03-06 21:14:18.319466,7
2026-03-06 21:14:18.319647,7
2026-03-06 21:14:18.319648,7
2026-03-06 21:14:18.319742,7
2026-03-06 21:14:18.319743,7
2026-03-06 21:14:18.360189,7
2026-03-06 21:14:18.360193,7
2026-03-06 21:14:18.415508,7
2026-03-06 21:14:18.415512,7
2026-03-06 21:14:18.462214,7
2026-03-06 21:14:18.462219,7
2026-03-06 21:14:18.517435,7
2026-03-06 21:14:18.517439,7
2026-03-06 21:14:18.564555,7
2026-03-06 21:14:18.564559,7
2026-03-06 21:14:18.61919,7
2026-03-06 21:14:18.619193,7
2026-03-06 21:14:18.66596,7
