time,PT_Cal.Ox_Downstream.channel_id
2026-03-06 21:14:19.092767,7
2026-03-06 21:14:19.09283,7
2026-03-06 21:14:19.093285,7
2026-03-06 21:14:19.203183,7
2026-03-06 21:14:19.203713,7
2026-03-06 21:14:19.312108,7
2026-03-06 21:14:19.312166,7
2026-03-06 21:14:19.312236,7
2026-03-06 21:14:19.421097,7
2026-03-06 21:14:19.42137,7
2026-03-06 21:14:19.421574,7
2026-03-06 21:14:19.529617,7
2026-03-06 21:14:19.529701,7
2026-03-06 21:14:19.529775,7
2026-03-06 21:14:19.529856,7
2026-03-06 21:14:19.530036,7
2026-03-06 21:14:19.639647,7
2026-03-06 21:14:19.640191,7
2026-03-06 21:14:19.640516,7
2026-03-06 21:14:19.64302,7
2026-03-06 21:14:19.748107,7
2026-03-06 21:14:19.748386,7
2026-03-06 21:14:19.748697,7
2026-03-06 21:14:19.748811,7
2026-03-06 21:14:19.749055,7
2026-03-06 21:14:19.857463,7
2026-03-06 21:14:19.857708,7
2026-03-06 21:14:19.857972,7
2026-03-06 21:14:19.85825,7
2026-03-06 21:14:19.858278,7
2026-03-06 21:14:19.966176,7
2026-03-06 21:14:19.966541,7
2026-03-06 21:14:19.966921,7
2026-03-06 21:14:19.967269,7
2026-03-06 21:14:19.967818,7
2026-03-06 21:14:19.968255,7
2026-03-06 21:14:20.074867,7
2026-03-06 21:14:20.074905,7
2026-03-06 21:14:20.074981,7
2026-03-06 21:14:20.075061,7
2026-03-06 21:14:20.075141,7
2026-03-06 21:14:20.075226,7
2026-03-06 21:14:20.075301,7
2026-03-06 21:14:20.075386,7
2026-03-06 21:14:20.075858,7
2026-03-06 21:14:20.183627,7
2026-03-06 21:14:20.18369,7
2026-03-06 21:14:20.183769,7
2026-03-06 21:14:20.183845,7
2026-03-06 21:14:20.183932,7
2026-03-06 21:14:20.183959,7
2026-03-06 21:14:20.292692,7
2026-03-06 21:14:20.292771,7
2026-03-06 21:14:20.292853,7
2026-03-06 21:14:20.29294,7
2026-03-06 21:14:20.293034,7
2026-03-06 21:14:20.293392,7
2026-03-06 21:14:20.401353,7
2026-03-06 21:14:20.40148,7
2026-03-06 21:14:20.402296,7
2026-03-06 21:14:20.510702,7
2026-03-06 21:14:20.510779,7
2026-03-06 21:14:20.510904,7
2026-03-06 21:14:20.511,7
2026-03-06 21:14:20.511092,7
2026-03-06 21:14:20.511235,7
2026-03-06 21:14:20.619511,7
2026-03-06 21:14:20.619546,7
2026-03-06 21:14:20.619796,7
2026-03-06 21:14:20.619857,7
2026-03-06 21:14:20.61992,7
2026-03-06 21:14:20.619969,7
2026-03-06 21:14:20.620007,7
2026-03-06 21:14:20.728596,7
2026-03-06 21:14:20.728692,7
2026-03-06 21:14:20.728778,7
2026-03-06 21:14:20.728879,7
2026-03-06 21:14:20.729962,7
2026-03-06 21:14:20.837813,7
2026-03-06 21:14:20.837855,7
2026-03-06 21:14:20.837901,7
2026-03-06 21:14:20.837941,7
2026-03-06 21:14:20.83802,7
2026-03-06 21:14:20.838099,7
2026-03-06 21:14:20.838177,7
2026-03-06 21:14:20.838195,7
2026-03-06 21:14:20.838287,7
2026-03-06 21:14:20.838376,7
2026-03-06 21:14:20.946917,7
2026-03-06 21:14:20.947004,7
2026-03-06 21:14:20.947095,7
2026-03-06 21:14:20.947218,7
2026-03-06 21:14:20.947327,7
2026-03-06 21:14:20.947484,7
2026-03-06 21:14:20.9477,7
2026-03-06 21:14:21.055778,7
2026-03-06 21:14:21.055841,7
2026-03-06 21:14:21.055946,7
2026-03-06 21:14:21.056051,7
2026-03-06 21:14:21.056293,7
2026-03-06 21:14:21.056356,7
2026-03-06 21:14:21.165379,7
2026-03-06 21:14:21.165651,7
2026-03-06 21:14:21.165935,7
2026-03-06 21:14:21.166262,7
2026-03-06 21:14:21.166394,7
2026-03-06 21:14:21.167386,7
2026-03-06 21:14:21.275233,7
2026-03-06 21:14:21.275473,7
2026-03-06 21:14:21.275749,7
2026-03-06 21:14:21.276063,7
2026-03-06 21:14:21.276285,7
2026-03-06 21:14:21.277316,7
2026-03-06 21:14:21.383201,7
2026-03-06 21:14:21.383428,7
2026-03-06 21:14:21.383637,7
2026-03-06 21:14:21.383895,7
2026-03-06 21:14:21.384489,7
2026-03-06 21:14:21.492793,7
2026-03-06 21:14:21.492955,7
2026-03-06 21:14:21.493041,7
2026-03-06 21:14:21.493546,7
2026-03-06 21:14:21.494568,7
2026-03-06 21:14:21.494712,7
2026-03-06 21:14:21.494855,7
2026-03-06 21:14:21.495206,7
2026-03-06 21:14:21.495512,7
2026-03-06 21:14:21.601352,7
2026-03-06 21:14:21.601575,7
2026-03-06 21:14:21.601806,7
2026-03-06 21:14:21.602061,7
2026-03-06 21:14:21.602061,7
2026-03-06 21:14:21.602329,7
2026-03-06 21:14:21.602574,7
2026-03-06 21:14:21.710641,7
2026-03-06 21:14:21.711201,7
2026-03-06 21:14:21.711418,7
2026-03-06 21:14:21.711613,7
2026-03-06 21:14:21.711797,7
2026-03-06 21:14:21.711857,7
2026-03-06 21:14:21.712003,7
2026-03-06 21:14:21.712229,7
2026-03-06 21:14:21.818965,7
2026-03-06 21:14:21.81924,7
2026-03-06 21:14:21.819512,7
2026-03-06 21:14:21.819752,7
2026-03-06 21:14:21.819797,7
2026-03-06 21:14:21.927963,7
2026-03-06 21:14:21.928155,7
2026-03-06 21:14:21.928361,7
2026-03-06 21:14:21.928555,7
2026-03-06 21:14:21.928676,7
2026-03-06 21:14:22.037023,7
2026-03-06 21:14:22.037294,7
2026-03-06 21:14:22.037532,7
2026-03-06 21:14:22.037782,7
2026-03-06 21:14:22.03805,7
2026-03-06 21:14:22.038361,7
2026-03-06 21:14:22.03866,7
2026-03-06 21:14:22.145682,7
2026-03-06 21:14:22.145829,7
2026-03-06 21:14:22.146107,7
2026-03-06 21:14:22.146327,7
2026-03-06 21:14:22.146562,7
2026-03-06 21:14:22.146732,7
2026-03-06 21:14:22.255095,7
2026-03-06 21:14:22.25546,7
2026-03-06 21:14:22.255763,7
2026-03-06 21:14:22.256099,7
2026-03-06 21:14:22.256457,7
2026-03-06 21:14:22.256794,7
2026-03-06 21:14:22.257076,7
2026-03-06 21:14:22.257725,7
2026-03-06 21:14:22.364175,7
2026-03-06 21:14:22.364417,7
2026-03-06 21:14:22.364658,7
2026-03-06 21:14:22.364893,7
2026-03-06 21:14:22.365135,7
2026-03-06 21:14:22.365275,7
2026-03-06 21:14:22.473243,7
2026-03-06 21:14:22.473453,7
2026-03-06 21:14:22.473667,7
2026-03-06 21:14:22.473878,7
2026-03-06 21:14:22.474118,7
2026-03-06 21:14:22.474886,7
2026-03-06 21:14:22.582166,7
2026-03-06 21:14:22.582284,7
2026-03-06 21:14:22.582413,7
2026-03-06 21:14:22.582544,7
2026-03-06 21:14:22.582604,7
2026-03-06 21:14:22.582657,7
2026-03-06 21:14:22.582767,7
2026-03-06 21:14:22.690702,7
2026-03-06 21:14:22.69073,7
2026-03-06 21:14:22.690751,7
2026-03-06 21:14:22.690789,7
2026-03-06 21:14:22.69082,7
2026-03-06 21:14:22.691178,7
2026-03-06 21:14:22.799794,7
2026-03-06 21:14:22.799842,7
2026-03-06 21:14:22.799887,7
2026-03-06 21:14:22.799948,7
2026-03-06 21:14:22.800026,7
2026-03-06 21:14:22.800114,7
2026-03-06 21:14:22.800199,7
2026-03-06 21:14:22.800278,7
2026-03-06 21:14:22.800573,7
2026-03-06 21:14:22.909212,7
2026-03-06 21:14:22.909266,7
2026-03-06 21:14:22.909334,7
2026-03-06 21:14:22.909407,7
2026-03-06 21:14:22.909489,7
2026-03-06 21:14:22.909564,7
2026-03-06 21:14:22.909639,7
2026-03-06 21:14:22.909917,7
2026-03-06 21:14:23.017945,7
2026-03-06 21:14:23.018011,7
2026-03-06 21:14:23.018061,7
2026-03-06 21:14:23.018105,7
2026-03-06 21:14:23.018761,7
